Place,HelmName,Fleet,Status
1,Jim Crossley,Men's Sailboard,Pro Fleet
2,Kevin Greenslade,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Pro Fleet
4,Simon Cofield,Men's Sailboard,Pro Fleet
5,Paul Sibley,Men's Sailboard,Gold Fleet
6,Scotty Stallman,Men's Sailboard,Gold Fleet
7,Garry Connell,Men's Sailboard,Gold Fleet
8,Leigh Kingaby,Men's Sailboard,Pro Fleet
9,James Battye,Men's Sailboard,Gold Fleet
10,Grant Cottrell,Men's Sailboard,Gold Fleet
11,Nick Beaney,Men's Sailboard,Pro Fleet
12,Ewan Paterson,Men's Sailboard,Amateur
13,Matthew York,Men's Sailboard,Gold Fleet
14,Gavin Furmenger,Men's Sailboard,Gold Fleet
15,Shaun Cook,Men's Sailboard,Pro Fleet
16,Kacper Wozniak,Men's Sailboard,Gold Fleet
17,Tyler Baker,Men's Sailboard,Youth Fleet
18,Adrian Wallis,Men's Sailboard,Gold Fleet
19,George Fulton,Men's Sailboard,Amateur
20,Trevor Whatford,Men's Sailboard,Amateur
21,Simon Chippington,Men's Sailboard,Gold Fleet
22,Chris Cleland,Men's Sailboard,Amateur
23,Mark Salvage,Men's Sailboard,Amateur
