Place,Helmname,Fleet
1,Jim Crossley,Men's Sailboard
2,Kevin Greenslade,Men's Sailboard
3,Simon Pettifer,Men's Sailboard
4,Simon Cofield,Men's Sailboard
5,Paul Sibley,Men's Sailboard
6,Scotty Stallman,Men's Sailboard
7,Garry Connell,Men's Sailboard
8,Leigh Kingaby,Men's Sailboard
9,James Battye,Men's Sailboard
10,Grant Cottrell,Men's Sailboard
11,Nick Beaney,Men's Sailboard
12,Ewan Paterson,Men's Sailboard
13,Matthew York,Men's Sailboard
14,Gavin Furmenger,Men's Sailboard
15,Shaun Cook,Men's Sailboard
16,Kacper Wozniak,Men's Sailboard
17,Tyler Baker,Men's Sailboard
18,Adrian Wallis,Men's Sailboard
19,George Fulton,Men's Sailboard
20,Trevor Whatford,Men's Sailboard
21,Simon Chippington,Men's Sailboard
22,Chris Cleland,Men's Sailboard
23,Mark Salvage,Men's Sailboard
