Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Jim Crossley,Men's Sailboard,Pro Fleet
3,Simon Cofield,Men's Sailboard,Pro Fleet
4,Scotty Stallman,Men's Sailboard,Gold Fleet
5,Simon Pettifer,Men's Sailboard,Pro Fleet
6,Nick Beaney,Men's Sailboard,Pro Fleet
7,Paul Sibley,Men's Sailboard,Gold Fleet
8,Garry Connell,Men's Sailboard,Gold Fleet
9,Shaun Cook,Men's Sailboard,Pro Fleet
10,Leigh Kingaby,Men's Sailboard,Pro Fleet
11,Gavin Furmenger,Men's Sailboard,Gold Fleet
12,Adrian Wallis,Men's Sailboard,Gold Fleet
13,Grant Cottrell,Men's Sailboard,Gold Fleet
14,Kacper Wozniak,Men's Sailboard,Gold Fleet
15,Simon Chippington,Men's Sailboard,Gold Fleet
16,James Battye,Men's Sailboard,Gold Fleet
17,Ewan Paterson,Men's Sailboard,Amateur
18,George Fulton,Men's Sailboard,Amateur
19,Henry Bloodworth,Men's Sailboard,Pro Fleet
20,Chris Cleland,Men's Sailboard,Amateur
21,Mark Salvage,Men's Sailboard,Amateur
