Fleet,HelmName,RaceNo,Pos
UKWA,Simon Cofield,1,1
UKWA,Simon Pettifer,1,2
UKWA,Kevin Greenslade,1,3
UKWA,Scotty Stallman,1,4
UKWA,Leigh Kingaby,1,5
UKWA,Jenna Gibson,1,6
UKWA,Paul Sibley,1,7
UKWA,Garry Connell,1,8
UKWA,Adrian Wallis,1,9
UKWA,Richard Crosby,1,10
UKWA,Kacper Wozniak,1,11
UKWA,Peter Crosby,1,12
UKWA,James Faley,1,13
UKWA,Dave Strudwick,1,14
UKWA,Jason Sawyer,1,15
UKWA,Nic Dodd,1,16
UKWA,Martin Brooks,1,17
UKWA,Chris  Cleland ,1,18
UKWA,Gavin Nicholson,1,19
UKWA,James Battye,1,20
UKWA,Nick Deakin,1,21
UKWA,Sam Jones,1,22
UKWA,George Fulton,1,23
UKWA,Duncan Adam,1,24
UKWA,Tim Whealy,1,25
UKWA,Andy Stuart-William,1,26
UKWA,Simon Cofield,2,1
UKWA,Scotty Stallman,2,2
UKWA,Leigh Kingaby,2,3
UKWA,Simon Pettifer,2,4
UKWA,Kevin Greenslade,2,5
UKWA,Jenna Gibson,2,6
UKWA,Paul Sibley,2,7
UKWA,Adrian Wallis,2,8
UKWA,Garry Connell,2,9
UKWA,George Fulton,2,10
UKWA,James Faley,2,11
UKWA,Peter Crosby,2,12
UKWA,Richard Crosby,2,13
UKWA,Kacper Wozniak,2,14
UKWA,Jason Sawyer,2,15
UKWA,Dave Strudwick,2,16
UKWA,Gavin Nicholson,2,17
UKWA,Martin Brooks,2,18
UKWA,Nic Dodd,2,19
UKWA,Andy Stuart-William,2,20
UKWA,Sam Jones,2,21
UKWA,Chris  Cleland ,2,22
UKWA,Nick Deakin,2,23
UKWA,James Battye,2,24
UKWA,Duncan Adam,2,25
UKWA,Lewis Limm,2,26
UKWA,Simon Cofield,3,1
UKWA,Kevin Greenslade,3,2
UKWA,Scotty Stallman,3,3
UKWA,Simon Pettifer,3,4
UKWA,leigh kingaby,3,5
UKWA,Jenna Gibson,3,6
UKWA,Garry Connell,3,7
UKWA,Paul Sibley,3,8
UKWA,Tyler  Baker ,3,9
UKWA,Adrian Wallis,3,10
UKWA,James Battye,3,11
UKWA,Alex Smith,3,12
UKWA,James Faley,3,13
UKWA,Peter Crosby,3,14
UKWA,Dave Strudwick,3,15
UKWA,Kacper Wozniak,3,16
UKWA,Jason Sawyer,3,17
UKWA,Sam Jones,3,18
UKWA,Gavin Nicholson,3,19
UKWA,Simon Cofield,4,1
UKWA,Kevin Greenslade,4,2
UKWA,James Battye,4,3
UKWA,Scotty Stallman,4,4
UKWA,Simon Pettifer,4,5
UKWA,leigh kingaby,4,6
UKWA,Paul Sibley,4,7
UKWA,Adrian Wallis,4,8
UKWA,Alex Smith,4,9
UKWA,Jenna Gibson,4,10
UKWA,Garry Connell,4,11
UKWA,Kacper Wozniak,4,12
UKWA,Dave Strudwick,4,13
UKWA,George Fulton,4,14
UKWA,Jason Sawyer,4,15
UKWA,Peter Crosby,4,16
UKWA,Nic Dodd,4,17
UKWA,Trevor Whatford,4,18
UKWA,Gavin Nicholson,4,19
