Name,Sail Number,Craft Type,Speed (kts)
David Garrel,22,Sailboard,22.79
Ludo Brockway,616,Kite Board,22.26
Simon Olley,953,Sailboard,20.45
Paul Morris,111,Sailboard,19.68
Ian Hill,14,Sailboard,19.53
Allan Cross,68,Sailboard,19.17
Nick Scott,55,Sailboard,19.02
Gareth Baker,69,Sailboard,18.41
Nigel Spriggs,118,Sailboard,18.25
Calle Hennix,123,Boat,17.70
Pete Martin,181,Sailboard,17.14
Tony Morris,604,Sailboard,17.00
Tony Ireland,480,Sailboard,16.58
Joddy Chapman,141,Boat,16.16
Mathew Burridge,666,Sailboard,15.90
Barry Mason,23,Sailboard,15.32
Clive Ellis,51,Sailboard,13.75
Simon Maguire,86,Boat,13.08
John Fildes,467,Sailboard,12.64
Stephen Walker,84,Boat,11.37
John Morrish,80,Sailboard,11.10
David Williams,612,Kite Board,10.78
Bob Date,458,Boat,9.58
John Peperell,504,Boat,9.00
Steve Mather,134,Sailboard,8.28
Torix Bennett,101,Boat,7.89
Mike Coombes,332,Sailboard,7.39
David Temple,77,Sailboard,5.92
David Goodrich,197,Sailboard,5.69
Sean Carroll,171,Sailboard,5.27
James Paine,17,Sailboard,5.00
Trevor Watford,27,Sailboard,4.91
Ian Grounds,276,Sailboard,4.05
Zara Davis,731,Sailboard,4.03
Charles Thompson,138,Boat,3.32
