Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Antony Baker,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Christian Body,Men's Sailboard
5,Nigel Spriggs,Men's Sailboard
6,Jamie Walker,Men's Sailboard
7,Andy Holland,Men's Sailboard
8,Jack Trollope,Men's Sailboard
9,Allan Cross,Men's Sailboard
10,Garry Connell,Men's Sailboard
11,Adrian Wallis,Men's Sailboard
12,Dave Strudwick,Men's Sailboard
13,Stephen Chatten,Men's Sailboard
14,Gavin Furmenger,Men's Sailboard
15,Chris Jackson,Men's Sailboard
16,Matthew York,Men's Sailboard
17,Martin Allman,Men's Sailboard
18,Nic Dodd,Men's Sailboard
