Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,33.19,Sailboard,David MacInnes,31,67
2,31.00,Sailboard,Richard Jones,9,213
3,30.44,Sailboard,John Sanderson,19,180
4,29.48,Sailboard,Ian Hill,9,14
5,29.25,Sailboard,Simon Hinckley,22,40
6,29.11,Sailboard,Robin Penna,21,75
7,29.02,Sailboard,Peter Davis,11,73
8,29.02,Kite Board,Dean Morgan,5,605
9,28.80,Sailboard,Björn Haacke,21,4
10,28.45,Sailboard,Pete Martin,6,181
11,28.23,Sailboard,Alan Cross,10,68
12,28.07,Sailboard,Tony Morris,5,11
13,27.90,Sailboard,Richard Ashenden,9,19
14,27.82,Sailboard,Greg Lewis,7,594
15,27.53,Kite Board,Jeremy Waitt,1,604
16,27.29,Sailboard,Stephen Corps,18,15
17,27.17,Sailboard,Rob Stack,14,777
18,27.13,Sailboard,Richard Holgate,5,53
19,26.97,Sailboard,Alex Montgomery,3,1
20,26.78,Sailboard,Mike Pearce,14,9
21,26.74,Kite Board,Jeremy Hawkins,4,623
22,26.48,Sailboard,Richard Trubger,13,124
23,26.22,Kite Board,Ian Gray,5,610
24,26.11,Sailboard,Amy Carter,13,85
25,25.96,Sailboard,Dion Hunt,8,71
26,25.71,Sailboard,Trevor Whatford,13,27
27,25.61,Sailboard,Matt Spooner,2,150
28,25.50,Sailboard,Andrew Ramshaw,4,90
29,24.96,Sailboard,Nigel Spriggs,8,118
30,24.93,Sailboard,Duncan Adam,8,63
31,24.86,Sailboard,Tim Gulland,5,454
32,24.53,Kite Board,Neil Peacock,4,602
33,24.53,Sailboard,Sean Carroll,7,171
34,24.34,Sailboard,Claude Van-Martyn,6,55
35,24.06,Sailboard,Clive Ellis,3,51
36,23.52,Sailboard,Alistair Williams,4,330
37,23.52,Sailboard,Roger Crabb,6,88
38,23.34,Sailboard,Peter D'Arcy,1,25
39,23.28,Sailboard,Martin Allman,7,36
40,22.55,Sailboard,Brian Leake,9,26
41,21.84,Sailboard,Michael Seward,2,93
42,7.27,Boat,Torix Bennett,1,101
