Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,15.83,Boat,George Chapman,11,28
2,14.07,Sailboard,James Paine,4,17
3,12.15,Boat,Bob Date,17,458
4,11.81,Boat,Alex Montgomery,18,1
5,11.66,Boat,Evans/Middleton,34,99
6,9.37,Sailboard, ??,3,5
7,9.12,Sailboard,Mike Pearce,2,9
8,8.63,Boat,John Peperell,8,501
9,6.4,Boat,Hywel Price,5,30
10,6.19,Sailboard,Tony Morris,2,11
11,5.56,Sailboard,Trevor Whatford,2,27
12,4.79,Sailboard,Roger Crabb,1,88
13,2.64,Boat,Slade Penoyre,1,79
14,2.16,Sailboard,Sean Carroll,1,171
