Rank,Speed (kts),Name,Runs,Sail Number
1,22.08,Pete Martin,21,181
2,18.57,Jim Paine,16,17
3,18.46,Mike Pearce,16,9
4,17.46,Sean Carroll,6,171
5,16.89,Trevor Whatford,10,27
6,16.83,Tony Morris,2,11
7,16.25,Roger Crabb,4,88
8,16.07,Les Paley,21,8
9,15.56,Jeremy Walwin,3,20
10,14.95,Chris Calthrop,10,48
11,14.32,Richard Trubger,2,124
12,13.08,Neils Haarbosch,2,576
13,12.26,Alex Montgomery,10,1
14,12.22,Chris Evans + Philip Middleton,21,99
15,11.48,Slade Penoyre,8,503
16,11.12,Andrew MacDonald,3,39
17,11.07,John Peperell,9,13
18,8.83,Fred Ball,5,10
19,8.45,Torix Bennett,1,101
20,8.37,Alan Blundell,1,18
