Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,27.99,Sailboard,David Garrel,12,22
2,24.59,Sailboard,Ian Hill,8,14
3,23.27,Sailboard,Tony Morris,4,11
4,23.20,Kite Board,Cory Roeseler,5,24
5,21.48,Sailboard,Richard Holgate,3,53
6,20.41,Sailboard,Dion Hunt,4,71
7,20.17,Sailboard,Trevor Whatford,7,27
8,19.74,Boat,Joddy Chapman,4,141
9,18.60,Boat,Alan Blundell,8,18
10,18.19,Sailboard,Jeremy Walwin,2,20
11,15.91,Sailboard,Richard Trubger,1,124
12,14.51,Boat,Torix Bennett,4,101
13,3.07,Sailboard,G Ratten,1,78
