Place,Helmname,Fleet
1,Guy Cribb,Men's Wingboard
2,James Bulson,Men's Wingboard
3,Richard Hobson,Men's Wingboard
4,Denis Gordo,Men's Wingboard
5,Rod Dickinson,Men's Wingboard
6,Andrew Collenette,Men's Wingboard
