Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Jim Crossley,Men's Sailboard,Pro Fleet
4,Garry Connell,Men's Sailboard,Pro Fleet
5,George Fulton,Men's Sailboard,Gold Fleet
6,John Oliver,Men's Sailboard,Gold Fleet
7,James Brake,Men's Sailboard,Gold Fleet
8,Zack Peaple,Men's Sailboard,Gold Fleet
9,Sam Latham,Men's Sailboard,Gold Fleet
10,Michael George,Men's Sailboard,Pro Fleet
11,Will Trossell,Men's Sailboard,Gold Fleet
12,Andy Turvey,Men's Sailboard,Gold Fleet
13,Maciej Bukolt,Men's Sailboard,Amateur
14,Richard Crosby,Men's Sailboard,Gold Fleet
15,Scott Norman,Men's Sailboard,Gold Fleet
16,Matthew York,Men's Sailboard,Gold Fleet
17,Tim Bate,Men's Sailboard,Amateur
18,Scott Harrison,Men's Sailboard,Gold Fleet
19,Paul Arnold,Men's Sailboard,Amateur
20,Dave Strudwick,Men's Sailboard,Gold Fleet
21,Andrew Twinn,Men's Sailboard,Gold Fleet
22,Stuart Trunkfield,Men's Sailboard,Gold Fleet
23,Russell Thompson,Men's Sailboard,Amateur
24,Andy Stuart-William,Men's Sailboard,Gold Fleet
25,Eddie Marsh,Men's Sailboard,Gold Fleet
26,Matthew Lilley,Men's Sailboard,Amateur
27,Joe Trunkfield,Men's Sailboard,Amateur
28,Andy Bridge,Men's Sailboard,Amateur
