Sail Number,Craft Type,Name,Speed (kts),Runs
17,Sailboard,Jim Paine,31.519,10
47,Sailboard,Stacey Vass,30.495,14
150,Sailboard,Matthew Spooner,27.139,22
181,Sailboard,Peter Martin,27.064,8
124,Sailboard,Richard Trubger,26.632,8
9,Sailboard,Mike Pearce,26.182,13
171,Sailboard,Sean Carroll,25.858,5
2,Sailboard,Robin Ball,24.196,3
27,Sailboard,Trevor Whatford,23.580,2
15,Boat,Harvey Bowden,20.846,12
18,Boat,Alan Blundell,20.567,5
