Place,HelmName,Fleet,Status
1,Simon Pettifer,Men's Sailboard,Pro Fleet
2,Scotty Stallman,Men's Sailboard,Pro Fleet
3,James Battye,Men's Sailboard,Pro Fleet
4,Jim Crossley,Men's Sailboard,Pro Fleet
5,Paul Sibley,Men's Sailboard,Gold Fleet
6,James Faley,Men's Sailboard,Youth Fleet
7,Michael George,Men's Sailboard,Gold Fleet
8,Tyler Baker,Men's Sailboard,Youth Fleet
9,Josh Lane,Men's Sailboard,Youth Fleet
10,Garry Connell,Men's Sailboard,Gold Fleet
11,Richard Crosby,Men's Sailboard,Amateur
12,Adrian Wallis,Men's Sailboard,Gold Fleet
13,Peter Crosby,Men's Sailboard,Gold Fleet
14,Dave Strudwick,Men's Sailboard,Gold Fleet
15,Lewis Limm,Men's Sailboard,Youth Fleet
16,Matt Roche,Men's Sailboard,Youth Fleet
17,Spenser Arnold,Men's Sailboard,Amateur
18,Harry Keenan,Men's Sailboard,Gold Fleet
19,Chris Cleland,Men's Sailboard,Amateur
