ID,First Name,Family Name,Sail Number,Nationality,Craft Type,Description
1,Alan,Blundell,18,,Boat,Triscaph (Vari Scari)
2,Cliff,Glendining,138,,Boat,Hobie TriFoiler
3,Joddy,Chapman,141,,Boat,CERES Hydrofoil Catamaran
4,Raphael,Dinelli,277,France,Boat,Catamaran ExoJet
5,Arthur,Lister,325,,Boat,Catapult HydroFoil
6,John,Peperell,510,,Boat,Catapult Tri-beam
7,Torix,Bennett,101/121,,Boat,Triscaph (Sea Spider)
8,Cyril,Pimont,2,France,Kite Board,
9,Cory,Roeseler,24,United States,Kite Board,
10,Emmanuel,Taub,26,France,Kite Board,
11,Richard,Trubger,624,,Kite Board,
12,Alex,Montgomery,1,,Sailboard,
13,Angus,Hitchin,7,,Sailboard,
14,Les,Paley,8,,Sailboard,
15,Tony,Morris,11,,Sailboard,
16,Ian,Hill,14,,Sailboard,
17,James,Paine,17,,Sailboard,
18,Jeremy,Walwin,20,,Sailboard,
19,David,Garrel,22,France,Sailboard,
20,Trevor,Whatford,27,,Sailboard,
21,Pierre,Saville,38,,Sailboard,
22,David,Ellerbeck,42,,Sailboard,
23,Danny,Norris,43,,Sailboard,
24,Richard,Holgate,53,,Sailboard,
25,Claude,Van-Martyn,55,,Sailboard,
26,Dion,Hunt,71,,Sailboard,
27,Tristan,Drane,77,,Sailboard,
28,Graeme,Ratten,78,,Sailboard,
29,Roger,Crabb,88,,Sailboard,
30,Bjorn,Dunkerbeck,114,,Sailboard,
31,Richard,Trubger,124,,Sailboard,
32,David,Goodrich,197,,Sailboard,
33,Richard,Jones,213,,Sailboard,
34,Nick,Beaney,386,,Sailboard,
35,Peter,Watkinson,808,,Sailboard,
