RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
11,Jim Crossley,Sailboard,Shore 2,37.702,37.496,37.599,1
11,James Battye,Sailboard,Shore 2,37.363,37.181,37.272,2
11,Scotty Stallman,Sailboard,Shore 2,37.285,36.795,37.04,3
11,Simon Pettifer,Sailboard,Shore 2,35.787,35.741,35.764,4
11,Garry Connell,Sailboard,Shore 2,35.895,35.054,35.475,5
11,Jenna Gibson,Sailboard,Shore 2,34.151,33.397,33.774,6
11,Michael  George,Sailboard,Shore 2,33.775,33.535,33.655,7
11,Paul Sibley,Sailboard,Shore 2,34.173,32.819,33.496,8
11,Dave Strudwick,Sailboard,Shore 2,33.609,32.71,33.16,9
11,Neven Juretic,Sailboard,Shore 2,33.312,32.589,32.95,10
11,Shaun Cook,Sailboard,Shore 2,33.154,32.417,32.786,11
11,Will Trossell,Sailboard,Shore 2,34.539,30.855,32.697,12
11,George Fulton,Sailboard,Shore 2,32.144,31.857,32.001,13
11,Adrian Wallis,Sailboard,Shore 2,31.895,31.895,31.895,14
11,Olly Wood,Sailboard,Shore 2,32.367,31.411,31.889,15
11,Richard Crosby,Sailboard,Shore 2,31.438,31.381,31.41,16
11,simon chippington,Sailboard,Shore 2,29.717,29.031,29.374,17
11,Northwood Gerry,Sailboard,Shore 2,27.078,26.734,26.906,18
