RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
12,Jim Crossley,Sailboard,Shore 2,37.199,37.062,37.130,1
12,James Battye,Sailboard,Shore 2,36.795,36.615,36.705,2
12,Scotty Stallman,Sailboard,Shore 2,36.646,36.628,36.637,3
12,Simon Pettifer,Sailboard,Shore 2,36.412,36.374,36.393,4
12,Paul Sibley,Sailboard,Shore 2,35.582,35.227,35.404,5
12,Garry Connell,Sailboard,Shore 2,34.852,34.642,34.747,6
12,Will Trossell,Sailboard,Shore 2,34.513,34.499,34.506,7
12,Shaun Cook,Sailboard,Shore 2,33.735,33.185,33.460,8
12,Neven Juretic,Sailboard,Shore 2,33.390,32.866,33.128,9
12,Michael  George,Sailboard,Shore 2,33.204,32.981,33.092,10
12,Jenna Gibson,Sailboard,Shore 2,33.467,32.215,32.841,11
12,Dave Strudwick,Sailboard,Shore 2,33.639,30.888,32.264,12
12,Olly Wood,Sailboard,Shore 2,33.024,31.399,32.212,13
12,Adrian Wallis,Sailboard,Shore 2,31.692,31.692,31.692,14
12,simon chippington,Sailboard,Shore 2,31.823,30.069,30.946,15
12,Trevor Whatford,Sailboard,Shore 2,27.640,27.060,27.350,16
12,Richard Crosby,Sailboard,Shore 2,23.160,,11.580,17
