Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,29.19,Sailboard,Richard Ashenden,27,19
2,28.64,Sailboard,James Paine,27,17
3,28.6,Sailboard,Pete Martin,21,181
4,27.65,Sailboard,Tony Morris,17,11
5,27.24,Sailboard,Richard Jones,4,213
6,26.84,Sailboard,A N Other,14,671
7,26.57,Sailboard,David Goodrich,29,197
8,26,Sailboard,Sean Carroll,7,171
9,25.75,Sailboard,Mike Pearce,29,9
10,25.71,Sailboard,Roger Crabb,12,88
11,24.84,Sailboard,Les Paley,10,8
12,24.84,Kite Board,Andrew Macdonald,8,39
13,24.05,Sailboard,Matthew Brown,4,3
14,22.69,Sailboard,Robbie Brotherwood,7,4
15,22.6,Sailboard,Peter Watkinson,2,808
16,22.44,Sailboard,John May,10,37
17,15.34,Boat,Neils Haarbosch,7,576
18,14.63,Boat,Alex Montgomery,17,1
19,14.36,Boat,John Peperell,5,13
20,14.27,Boat,Chris Evans,2,33
21,12.2,Boat,Fred Ball,1,10
22,8.88,Boat,Neils Haarbosch,3,444
23,7.57,Sailboard,Robin Ball,5,2
24,1.39,Boat,John Perry,1,555
