Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,34.92,Sailboard,David Garrel,25,22
2,34.60,Sailboard,Bjorn Dunkerbeck,38,114
3,32.08,Kite Board,Cory Roeseler,9,24
4,30.85,Sailboard,Tony Morris,12,11
5,30.44,Kite Board,Emmanuel Taub,4,26
6,30.04,Kite Board,Cyril Pimont,5,2
7,29.76,Sailboard,Tristan Drane,9,77
8,29.52,Sailboard,Nick Beaney,27,386
9,28.39,Sailboard,Dion Hunt,14,71
10,27.46,Sailboard,David Goodrich,6,197
11,27.34,Sailboard,Alex Montgomery,10,1
12,26.52,Boat,Cliff Glendining,2,138
13,26.51,Sailboard,Danny Norris,16,43
14,26.07,Sailboard,Graeme Ratten,12,78
15,25.99,Sailboard,Ian Hill,3,14
16,25.78,Sailboard,Richard Trubger,15,124
17,24.68,Sailboard,Trevor Whatford,10,27
18,24.45,Sailboard,Roger Crabb,9,88
19,24.41,Sailboard,Richard Holgate,2,53
20,23.40,Sailboard,Jeremy Walwin,5,20
21,23.25,Sailboard,Angus Hitchin,1,7
22,22.25,Sailboard,Peter Watkinson,4,808
23,22.03,Sailboard,Les Paley,2,8
24,21.80,Sailboard,Pierre Saville,4,38
25,21.17,Sailboard,Dave Ellerbeck,2,42
26,19.67,Boat,Torix Bennett,2,121
27,18.75,Boat,Alan Blundell,6,18
28,15.38,Boat,Raphael Dinelli,4,277
