RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
9,Scotty Stallman,Sailboard,Shore 1,33.008,32.676,32.842,1
9,Simon Pettifer,Sailboard,Shore 1,32.961,32.435,32.698,2
9,James Battye,Sailboard,Shore 1,32.638,32.605,32.621,3
9,Garry Connell,Sailboard,Shore 1,31.290,31.073,31.182,4
9,Paul Sibley,Sailboard,Shore 1,30.345,30.273,30.309,5
9,Michael  George,Sailboard,Shore 1,29.873,29.851,29.862,6
9,Olly Wood,Sailboard,Shore 1,28.287,27.387,27.837,7
9,Northwood Gerry,Sailboard,Shore 1,26.721,25.970,26.346,8
9,Harry Keenan,Sailboard,Shore 1,25.685,25.269,25.477,9
9,Tim Whealy,Sailboard,Shore 1,25.203,23.466,24.334,10
9,Gavin Nicholson,Sailboard,Shore 1,22.902,21.788,22.345,11
