RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
10,Scotty Stallman,Sailboard,Shore 1,34.325,34.113,34.219,1
10,Simon Pettifer,Sailboard,Shore 1,34.057,33.691,33.874,2
10,James Battye,Sailboard,Shore 1,33.934,33.714,33.824,3
10,Garry Connell,Sailboard,Shore 1,32.588,32.320,32.454,4
10,Paul Sibley,Sailboard,Shore 1,31.931,31.711,31.821,5
10,Michael  George,Sailboard,Shore 1,31.474,31.138,31.306,6
10,Shaun Cook,Sailboard,Shore 1,31.165,30.619,30.892,7
10,Dave Strudwick,Sailboard,Shore 1,30.609,30.390,30.500,8
10,George Fulton,Sailboard,Shore 1,30.931,29.860,30.396,9
10,Jenna Gibson,Sailboard,Shore 1,30.126,29.925,30.026,10
10,Nick Deakin,Sailboard,Shore 1,29.505,29.429,29.467,11
10,Trevor Whatford,Sailboard,Shore 1,27.976,27.483,27.730,12
10,Northwood Gerry,Sailboard,Shore 1,27.831,26.827,27.329,13
10,Tom Joyce,Sailboard,Shore 1,27.171,26.047,26.609,14
10,Harry Keenan,Sailboard,Shore 1,26.912,25.929,26.420,15
10,Tim Whealy,Sailboard,Shore 1,24.937,24.815,24.876,16
10,Neven Juretic,Sailboard,Shore 1,29.153,,14.576,17
10,Olly Wood,Sailboard,Shore 1,27.102,,13.551,18
