Place,HelmName,Fleet,Status
1,Richard Hobson,Open Wingboard,Pro Fleet
2,Scotty Stallman,Open Wingboard,Pro Fleet
3,Ben Robbins,Open Wingboard,Amateur
4,Gary Nichols,Open Wingboard,Amateur
5,Nick Barrett,Open Wingboard,Amateur
6,Peter Mallett,Open Wingboard,Amateur
7,Mark Salvage,Open Wingboard,Amateur
