RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
7,James Battye,Sailboard,Shore 1,34.311,33.986,34.148,1
7,Scotty Stallman,Sailboard,Shore 1,33.054,32.726,32.890,2
7,Jim Crossley,Sailboard,Shore 1,32.934,32.579,32.757,3
7,Simon Pettifer,Sailboard,Shore 1,32.697,32.592,32.644,4
7,Will Trossell,Sailboard,Shore 1,32.286,32.194,32.240,5
7,Michael  George,Sailboard,Shore 1,32.280,31.206,31.743,6
7,Garry Connell,Sailboard,Shore 1,32.238,31.208,31.723,7
7,Paul Sibley,Sailboard,Shore 1,31.624,31.341,31.482,8
7,Adrian Wallis,Sailboard,Shore 1,30.683,30.070,30.376,9
7,Neven Juretic,Sailboard,Shore 1,28.031,27.374,27.702,10
7,Richard Crosby,Sailboard,Shore 1,27.189,,13.594,11
