RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
8,Scotty Stallman,Sailboard,Shore 1,34.746,33.263,34.004,1
8,James Battye,Sailboard,Shore 1,34.335,33.102,33.718,2
8,Simon Pettifer,Sailboard,Shore 1,33.681,33.569,33.625,3
8,Jim Crossley,Sailboard,Shore 1,33.642,33.463,33.552,4
8,Michael  George,Sailboard,Shore 1,30.930,30.850,30.890,5
8,Will Trossell,Sailboard,Shore 1,30.893,30.592,30.742,6
8,Paul Sibley,Sailboard,Shore 1,30.916,30.210,30.563,7
8,Garry Connell,Sailboard,Shore 1,31.079,29.772,30.426,8
8,Dave Strudwick,Sailboard,Shore 1,29.893,28.924,29.408,9
8,Richard Crosby,Sailboard,Shore 1,29.703,28.797,29.250,10
8,Neven Juretic,Sailboard,Shore 1,29.659,28.496,29.078,11
8,Adrian Wallis,Sailboard,Shore 1,28.866,28.834,28.850,12
8,George Fulton,Sailboard,Shore 1,28.874,28.633,28.754,13
8,Nick Deakin,Sailboard,Shore 1,27.469,27.392,27.431,14
8,Trevor Whatford,Sailboard,Shore 1,27.332,27.039,27.186,15
8,Tom Joyce,Sailboard,Shore 1,26.970,26.793,26.882,16
8,mark salvage,Sailboard,Shore 1,24.032,21.924,22.978,17
8,Harry Keenan,Sailboard,Shore 1,21.317,20.859,21.088,18
8,Gavin Nicholson,Sailboard,Shore 1,20.469,20.056,20.263,19
