Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Gold Fleet
4,Jim Crossley,Men's Sailboard,Pro Fleet
5,Mark Ingram,Men's Sailboard,Gold Fleet
6,Gavin Furmenger,Men's Sailboard,Gold Fleet
7,Gavin Nicholson,Men's Sailboard,Gold Fleet
8,Paul Sibley,Men's Sailboard,Gold Fleet
9,Dave Strudwick,Men's Sailboard,Gold Fleet
10,Mark Salvage,Men's Sailboard,Amateur
11,Stephen Sugden,Men's Sailboard,Gold Fleet
12,Trevor Whatford,Men's Sailboard,Amateur
