Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Kevin Greenslade,Men's Sailboard,Pro Fleet,28.86,28.07,28.47
2,Simon Cofield,Men's Sailboard,Pro Fleet,28.14,26.89,27.51
3,Simon Pettifer,Men's Sailboard,Gold Fleet,28.90,25.50,27.20
4,Jim Crossley,Men's Sailboard,Pro Fleet,26.11,22.17,24.14
5,Mark Ingram,Men's Sailboard,Gold Fleet,24.13,23.97,24.05
6,Gavin Furmenger,Men's Sailboard,Gold Fleet,25.67,22.09,23.88
7,Gavin Nicholson,Men's Sailboard,Gold Fleet,23.92,23.49,23.70
8,Paul Sibley,Men's Sailboard,Gold Fleet,23.87,21.14,22.51
9,Dave Strudwick,Men's Sailboard,Gold Fleet,21.47,16.09,18.78
10,Mark Salvage,Men's Sailboard,Amateur,17.16,16.01,16.59
11,Stephen Sugden,Men's Sailboard,Gold Fleet,20.19,,10.10
12,Trevor Whatford,Men's Sailboard,Amateur,18.06,,9.03
