Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Kevin Greenslade,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Leigh Kingaby,Men's Sailboard
6,Nick Beaney,Men's Sailboard
7,Dave White,Men's Sailboard
8,Garry Connell,Men's Sailboard
9,James Battye,Men's Sailboard
10,Matthew York,Men's Sailboard
11,Tony Attfield,Men's Sailboard
12,Kacper Wozniak,Men's Sailboard
13,Mark Ingram,Men's Sailboard
14,Gavin Furmenger,Men's Sailboard
15,Simon Chippington,Men's Sailboard
15,George Fulton,Men's Sailboard
17,Dave Strudwick,Men's Sailboard
18,Paul Sibley,Men's Sailboard
19,Shaun Cook,Men's Sailboard
20,Gavin Nicholson,Men's Sailboard
21,Nic Dodd,Men's Sailboard
22,Stephen Sugden,Men's Sailboard
23,Mark Salvage,Men's Sailboard
24,Trevor Whatford,Men's Sailboard
