Place,Helmname,Fleet
1,Kevin Greenslade,Men's Sailboard
2,Keith Atkinson,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Allan Cross,Men's Sailboard
6,Will Trossell,Men's Sailboard
7,Mark Matthews,Men's Sailboard
8,Garry Connell,Men's Sailboard
9,Thomas Eskdale,Men's Sailboard
10,Matthew York,Men's Sailboard
11,Matthew Spooner,Men's Sailboard
12,Paul Morris,Men's Sailboard
13,Jamie Walker,Men's Sailboard
14,Dave Strudwick,Men's Sailboard
15,Russell Clark,Men's Sailboard
16,Adrian Wallis,Men's Sailboard
17,Gavin Nicholson,Men's Sailboard
18,James Battye,Men's Sailboard
19,Duncan Adam,Men's Sailboard
20,Tom Joyce,Men's Sailboard
21,Trevor Whatford,Men's Sailboard
22,Nic Dodd,Men's Sailboard
23,Stephen Sugden,Men's Sailboard
24,Mark Palmer,Men's Sailboard
25,Mark Salvage,Men's Sailboard
26,Ginge Ashmore,Men's Sailboard
