Sail Number,Craft Type,Name,Speed (kts),Runs
47,Sailboard,Stacey Vass,29.164,12
181,Sailboard,Peter Martin,27.044,7
17,Sailboard,Jim Paine,25.246,12
197,Sailboard,David Goodrich,25.039,10
171,Sailboard,Sean Carroll,24.335,6
9,Sailboard,Mike Pearce,24.335,6
27,Sailboard,Trevor Whatford,23.641,10
101,Boat,Torix Bennett,23.192,12
46,Boat,EHS (European Hydrosail Systems),22.476,24
2,Sailboard,Robin Ball,22.365,11
639,Sailboard,Robert Spagnoletti,19.615,3
94,TBC,,18.12,1
5,Sailboard,Graham Hulbert,17.954,2
719,Boat,Glen Dilling,17.431,4
458,Boat,Robert Date,15.714,12
1,Boat,Jon Montgomery,14.734,6
99,Boat,Philip Middleton,13.325,5
30,Boat,Hywel Price,12.737,12
13,Boat,John Peperell,11.952,6
444,Boat,Brian Storm,7.752,2
11,Sailboard,Alex Montgomery,0.149,1
