Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Gold Fleet
4,Garry Connell,Men's Sailboard,Gold Fleet
5,Paul Sibley,Men's Sailboard,Gold Fleet
6,Leigh Kingaby,Men's Sailboard,Pro Fleet
7,Gavin Furmenger,Men's Sailboard,Gold Fleet
8,Matthew York,Men's Sailboard,Gold Fleet
9,Dave Strudwick,Men's Sailboard,Gold Fleet
10,Jason Sawyer,Men's Sailboard,Amateur
11,Gavin Nicholson,Men's Sailboard,Gold Fleet
12,James Battye,Men's Sailboard,Gold Fleet
13,Nic Dodd,Men's Sailboard,Gold Fleet
