Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Simon Cofield,Men's Sailboard,Pro Fleet,30.79,30.73,30.76
2,Kevin Greenslade,Men's Sailboard,Pro Fleet,31.03,30.39,30.71
3,James Battye,Men's Sailboard,Gold Fleet,31.05,30.32,30.68
4,Scotty Stallman,Men's Sailboard,Pro Fleet,30.74,30.43,30.58
5,Simon Pettifer,Men's Sailboard,Pro Fleet,30.44,30.32,30.38
6,Leigh Kingaby,Men's Sailboard,Pro Fleet,29.80,29.64,29.72
7,Paul Sibley,Men's Sailboard,Gold Fleet,29.13,28.73,28.93
8,Adrian Wallis,Men's Sailboard,Gold Fleet,28.87,28.86,28.87
9,Alex Smith,Men's Sailboard,Gold Fleet,28.83,28.82,28.83
10,Garry Connell,Men's Sailboard,Gold Fleet,29.46,27.00,28.23
11,Kacper Wozniak,Men's Sailboard,Gold Fleet,28.24,27.52,27.88
12,Dave Strudwick,Men's Sailboard,Gold Fleet,27.15,26.72,26.94
13,George Fulton,Men's Sailboard,Gold Fleet,27.14,26.08,26.61
14,Jason Sawyer,Men's Sailboard,Amateur,26.62,25.94,26.28
15,Peter Crosby,Men's Sailboard,Gold Fleet,25.81,24.70,25.25
16,Nic Dodd,Men's Sailboard,Amateur,23.37,22.70,23.04
17,Trevor Whatford,Men's Sailboard,Amateur,23.18,21.98,22.58
18,Gavin Nicholson,Men's Sailboard,Gold Fleet,14.80,14.72,14.76
