Sail Number,Craft Type,Name,Speed (kts),Runs
47,Sailboard,Stacey Vass,31.132,27
138,Boat,John Lindley,30.573,7
31,Sailboard,Angus Hitchin,29.669,28
17,Sailboard,Jim Paine,29.567,16
181,Sailboard,Peter Martin,29.264,19
220,Sailboard,Cygnus Sails,27.515,3
6,Sailboard,Rob Gough,27.471,10
27,Sailboard,Trevor Whatford,26.995,15
197,Sailboard,David Goodrich,26.992,22
9,Sailboard,Mike Pearce,26.614,29
101,Boat,Torix Bennett,26.447,10
171,Sailboard,Sean Carroll,25.237,21
2,Sailboard,Robin Ball,24.547,26
46,Boat,E.H.S.,23.995,11
11,Sailboard,Alex Montgomery,23.894,15
111,Sailboard,Nick Povey,23.694,5
68,TBC,-,22.155,1
5,Sailboard,Graham Hulbert,19.883,14
1,Boat,Jon Montgomery,15.974,6
13,Boat,John Peperell,15.825,22
458,Boat,Robert Date,15.609,6
10,Boat,Fred Ball,13.072,11
30,Boat,Hywel Price,12.993,6
444,Boat,Brian Storm,8.362,1
3,Boat,Bob Quinton,0.104,1
