RaceNo,Name,Craft Type,Course,1st Run Speed (kts),2nd Run Speed (kts),2-Run Avg. Speed (kts),Points
2,Scotty Stallman,Sailboard,Harbour 2,34.431,34.354,34.392,1
2,Jim Crossley,Sailboard,Harbour 2,33.767,33.751,33.759,2
2,Simon Pettifer,Sailboard,Harbour 2,33.238,33.19,33.214,3
2,James Battye,Sailboard,Harbour 2,33.001,32.715,32.858,4
2,Michael  George,Sailboard,Harbour 2,31.345,31.059,31.202,5
2,Paul Sibley,Sailboard,Harbour 2,31.359,30.9,31.13,6
2,Tyler  Baker ,Sailboard,Harbour 2,30.848,30.734,30.791,7
2,Josh Lane,Sailboard,Harbour 2,30.319,29.929,30.124,8
2,James Faley,Sailboard,Harbour 2,29.981,29.977,29.979,9
2,George Fulton,Sailboard,Harbour 2,30.195,29.726,29.96,10
2,Jenna Gibson,Sailboard,Harbour 2,29.767,29.47,29.618,11
2,Adrian Wallis,Sailboard,Harbour 2,29.519,28.914,29.216,12
2,Dave Strudwick,Sailboard,Harbour 2,29.088,28.746,28.917,13
2,Richard Crosby,Sailboard,Harbour 2,29.031,28.304,28.667,14
2,Trevor Whatford,Sailboard,Harbour 2,27.523,27.163,27.343,15
2,Lewis Limm,Sailboard,Harbour 2,27.121,26.885,27.003,16
2,Matt Roche,Sailboard,Harbour 2,26.342,26.231,26.286,17
2,Peter Crosby,Sailboard,Harbour 2,27.761,18.532,23.146,18
2,Gavin Nicholson,Sailboard,Harbour 2,18.483,18.346,18.414,19
