Place,HelmName,Fleet,Status
1,Jim Crossley,Men's Sailboard,Pro Fleet
2,Scotty Stallman,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Pro Fleet
4,James Battye,Men's Sailboard,Pro Fleet
5,Garry Connell,Men's Sailboard,Gold Fleet
6,Paul Sibley,Men's Sailboard,Gold Fleet
7,Michael George,Men's Sailboard,Gold Fleet
8,Will Trossell,Men's Sailboard,Gold Fleet
9,Adrian Wallis,Men's Sailboard,Gold Fleet
10,Richard Crosby,Men's Sailboard,Amateur
11,George Fulton,Men's Sailboard,Gold Fleet
12,Peter Crosby,Men's Sailboard,Gold Fleet
13,Dave Strudwick,Men's Sailboard,Gold Fleet
14,Neven Juretic,Men's Sailboard,Amateur
15,Nick Deakin,Men's Sailboard,Amateur
16,Trevor Whatford,Men's Sailboard,Gold Fleet
17,Tom Squires,Men's Sailboard,Pro Fleet
18,Mark Salvage,Men's Sailboard,Amateur
19,Gavin Nicholson,Men's Sailboard,Gold Fleet
20,Olly Wood,Men's Sailboard,Amateur
