Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,31.32,Sailboard,Bjorn Dunkerbeck,28,114
2,30.03,Sailboard,David Garrel,20,22
3,28.22,Kite Board,Cory Roeseler,10,24
4,26.97,Sailboard,Ian Hill,22,14
5,26.81,Kite Board,Emmanuel Taub,3,26
6,26.58,Sailboard,Tony Morris,3,11
7,25.97,Sailboard,Graeme Ratten,7,78
8,24.66,Kite Board,Cyril Pimont,5,2
9,24.54,Sailboard,Trevor Whatford,12,27
10,23.71,Sailboard,Roger Crabb,12,88
11,23.65,Sailboard,Claude van Martyn,5,55
12,23.23,Sailboard,Richard Jones,4,213
13,22.99,Sailboard,Alex Montgomery,3,1
14,21.84,Sailboard,Pierre Saville,3,38
15,19.14,Boat,Alan Blundell,24,18
16,16.11,Boat,Raphael Dinelli,31,277
17,14.80,Boat,John Peperell,14,510
18,13.19,Boat,Arthur Lister,14,325
