Place,Helmname,Fleet,Status,Run 1 (kts),Run 2 (kts),Avg (kts)
1,Kevin Greenslade,Men's Sailboard,Pro Fleet,28.02,27.94,27.98
2,Simon Cofield,Men's Sailboard,Pro Fleet,27.78,27.71,27.74
3,Simon Pettifer,Men's Sailboard,Pro Fleet,26.86,26.60,26.73
4,James Battye,Men's Sailboard,Gold Fleet,26.38,26.37,26.38
5,Leigh Kingaby,Men's Sailboard,Pro Fleet,26.40,26.33,26.37
6,Kacper Wozniak,Men's Sailboard,Gold Fleet,26.38,26.31,26.34
7,Scotty Stallman,Men's Sailboard,Pro Fleet,26.40,25.90,26.15
8,Adrian Wallis,Men's Sailboard,Gold Fleet,25.55,25.30,25.42
9,Paul Sibley,Men's Sailboard,Gold Fleet,25.25,25.18,25.21
10,Alex Smith,Men's Sailboard,Gold Fleet,24.99,24.90,24.95
11,Simon Chippington,Men's Sailboard,Gold Fleet,24.75,23.60,24.17
12,George Fulton,Men's Sailboard,Gold Fleet,24.00,23.60,23.80
13,Dave Strudwick,Men's Sailboard,Gold Fleet,23.52,23.41,23.46
14,Nick Deakin,Men's Sailboard,Amateur,23.28,21.16,22.22
15,Garry Connell,Men's Sailboard,Gold Fleet,24.05,17.85,20.95
16,Martin Brooks,Men's Sailboard,Amateur,20.65,20.09,20.37
17,Trevor Whatford,Men's Sailboard,Amateur,18.52,17.63,18.08
18,Peter Crosby,Men's Sailboard,Gold Fleet,19.12,17.02,18.07
19,Jason Sawyer,Men's Sailboard,Amateur,17.58,16.70,17.14
20,Gavin Nicholson,Men's Sailboard,Gold Fleet,15.84,15.42,15.63
21,Nic Dodd,Men's Sailboard,Amateur,13.60,13.01,13.31
22,Mark Salvage,Men's Sailboard,Amateur,8.51,,4.25
