Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Simon Pettifer,Men's Sailboard,Pro Fleet
4,James Battye,Men's Sailboard,Gold Fleet
5,Leigh Kingaby,Men's Sailboard,Pro Fleet
6,Kacper Wozniak,Men's Sailboard,Gold Fleet
7,Scotty Stallman,Men's Sailboard,Pro Fleet
8,Adrian Wallis,Men's Sailboard,Gold Fleet
9,Paul Sibley,Men's Sailboard,Gold Fleet
10,Alex Smith,Men's Sailboard,Gold Fleet
11,Simon Chippington,Men's Sailboard,Gold Fleet
12,George Fulton,Men's Sailboard,Gold Fleet
13,Dave Strudwick,Men's Sailboard,Gold Fleet
14,Nick Deakin,Men's Sailboard,Amateur
15,Garry Connell,Men's Sailboard,Gold Fleet
16,Martin Brooks,Men's Sailboard,Amateur
17,Trevor Whatford,Men's Sailboard,Amateur
18,Peter Crosby,Men's Sailboard,Gold Fleet
19,Jason Sawyer,Men's Sailboard,Amateur
20,Gavin Nicholson,Men's Sailboard,Gold Fleet
21,Nic Dodd,Men's Sailboard,Amateur
22,Mark Salvage,Men's Sailboard,Amateur
