Place,Helmname,Fleet
1,Scotty Stallman,Men's Sailboard
2,Simon Pettifer,Men's Sailboard
3,Garry Connell,Men's Sailboard
4,Richard Crosby,Men's Sailboard
5,Maciej Bukolt,Men's Sailboard
6,John Oliver,Men's Sailboard
7,Stuart Trunkfield,Men's Sailboard
8,Iain Neary,Men's Sailboard
9,Stewart Veitch,Men's Sailboard
10,Michael George,Men's Sailboard
11,Andy Stuart-William,Men's Sailboard
