Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Garry Connell,Men's Sailboard,Pro Fleet
4,Nigel Spriggs,Men's Sailboard,Pro Fleet
5,Michael George,Men's Sailboard,Pro Fleet
6,Eddie Marsh,Men's Sailboard,Amateur
7,Simon Chippington,Men's Sailboard,Gold Fleet
8,Richard Crosby,Men's Sailboard,Gold Fleet
9,John Oliver,Men's Sailboard,Gold Fleet
10,Andy Stuart-William,Men's Sailboard,Gold Fleet
11,Dave Strudwick,Men's Sailboard,Gold Fleet
12,Iain Neary,Men's Sailboard,Amateur
