Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Garry Connell,Men's Sailboard,Pro Fleet
4,Richard Crosby,Men's Sailboard,Gold Fleet
5,Maciej Bukolt,Men's Sailboard,Amateur
6,John Oliver,Men's Sailboard,Gold Fleet
7,Stuart Trunkfield,Men's Sailboard,Gold Fleet
8,Iain Neary,Men's Sailboard,Amateur
9,Stewart Veitch,Men's Sailboard,Amateur
10,Michael George,Men's Sailboard,Pro Fleet
11,Andy Stuart-William,Men's Sailboard,Gold Fleet
