Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Kevin Greenslade,Men's Sailboard
3,Jim Crossley,Men's Sailboard
4,Simon Pettifer,Men's Sailboard
5,Nigel Spriggs,Men's Sailboard
6,Nick Beaney,Men's Sailboard
7,Matthew York,Men's Sailboard
8,Allan Cross,Men's Sailboard
9,Jamie Walker,Men's Sailboard
10,Mark Matthews,Men's Sailboard
11,Roddy Cooper,Men's Sailboard
12,Adrian Wallis,Men's Sailboard
13,Gavin Furmenger,Men's Sailboard
14,Matthew Spooner,Men's Sailboard
15,Dave Strudwick,Men's Sailboard
16,Ben Marshall,Men's Sailboard
17,Alan Russell,Men's Sailboard
18,Scotty Stallman,Men's Sailboard
19,Nic Dodd,Men's Sailboard
20,Ben McCann,Men's Sailboard
21,Tommy Walters,Men's Sailboard
22,Mark Salvage,Men's Sailboard
