Place,Helmname,Fleet
1,Simon Cofield,Men's Sailboard
2,Kevin Greenslade,Men's Sailboard
3,Nigel Spriggs,Men's Sailboard
4,Jim Crossley,Men's Sailboard
5,Simon Pettifer,Men's Sailboard
6,Nick Beaney,Men's Sailboard
7,Gavin Furmenger,Men's Sailboard
8,Matthew York,Men's Sailboard
8,Bob Cunningham,Men's Sailboard
10,Jamie Walker,Men's Sailboard
11,Adrian Wallis,Men's Sailboard
12,Alan Russell,Men's Sailboard
13,Mark Matthews,Men's Sailboard
14,Allan Cross,Men's Sailboard
15,Matthew Spooner,Men's Sailboard
16,Roddy Cooper,Men's Sailboard
17,Dave Strudwick,Men's Sailboard
18,Scotty Stallman,Men's Sailboard
19,Nic Dodd,Men's Sailboard
20,Ben Marshall,Men's Sailboard
21,Mark Palmer,Men's Sailboard
22,Ben McCann,Men's Sailboard
23,Tommy Walters,Men's Sailboard
24,Mark Salvage,Men's Sailboard
