Position,Sail Number,Time,FirstName,LastName,CraftType,Title,Speed,Title,AgeStatus,Novice,Professional
49,62,13:06:28,Dave,Crowhurst,Sailboard,Result,25.67,Mr,Master,Yes,Neither
50,43,11:42:01,Simon,Thompson,Sailboard,Result,25.58,Mr,Neither,No,Gold Fleet
51,3,14:23:55,John,McIntyre,Sailboard,Result,25.49,Mr,Master,No,Neither
52,113,10:55:03,Rudiger,Lotz,Sailboard,Result,25.40,Mr,Master,No,Gold Fleet
53,555,10:31:57,claude,Van-martyn,Sailboard,Result,25.36,Mr,Master,No,Neither
54,143,10:48:54,Charles,Wilson,Sailboard,Result,25.31,Mr,Neither,No,Neither
55,329,11:34:47,Mark,Collins,Sailboard,Result,25.30,Mr,Master,No,Neither
56,97,14:34:36,Mike,Price,Sailboard,Result,25.24,Mr,Master,No,Neither
57,210,14:38:50,Gavin,Nicholson,Sailboard,Result,25.24,Mr,Neither,Yes,Neither
58,42,14:20:50,John,Langdown,Sailboard,Result,25.21,Mr,Neither,No,Neither
59,670,10:45:40,Eddie,Murrell,Sailboard,Result,25.15,Mr,Master,No,Gold Fleet
60,39,14:30:44,Simon,Todd,Sailboard,Result,25.07,Mr,Neither,Yes,Neither
61,571,10:58:19,Ryan,Dunkling,Sailboard,Result,25.00,Mr,Junior,Yes,Neither
62,863,10:22:37,Duncan,Adam,Sailboard,Result,24.75,Mr,Master,No,Neither
63,656,10:54:52,william,robinson,Sailboard,Result,24.74,Mr,Master,No,Neither
64,12,10:56:26,Jim,Brooks-Dowsett,Sailboard,Result,24.67,Mr,Neither,No,Gold Fleet
65,760,13:59:51,Antony,Todd,Sailboard,Result,24.51,Mr,Neither,Yes,Neither
66,49,11:04:35,Jeremy,Gardner,Sailboard,Result,24.46,Mr,Master,Yes,Neither
67,420,13:05:18,Chris,Etchells,Sailboard,Result,24.43,Mr,Neither,Yes,Neither
68,1966,13:15:24,Martin,Schramm,Sailboard,Result,24.34,Mr,Neither,Yes,Neither
69,30,13:59:13,alan,bennett,Sailboard,Result,24.31,Mr,Neither,No,Neither
70,146,13:11:08,Will,Giles,Sailboard,Result,24.23,Mr,Junior,No,Neither
71,40,13:08:17,Ian,Hobbs,Sailboard,Result,24.09,Mr,Master,Yes,Neither
72,353,10:51:39,paul,robinson,Sailboard,Result,24.05,Mr,Master,No,Neither
73,624,14:54:30,Jenny,Cooper,Kite Board,Result,24.01,Mrs,Master,Yes,Gold Fleet
74,2811,13:21:56,Henry,Luce,Sailboard,Result,24.00,Mr,Master,No,Neither
75,88,13:33:17,Richard,Riddell,Sailboard,Result,23.85,Mr,Neither,No,Neither
76,444,11:33:48,Richard,Haynes,Sailboard,Result,23.84,Mr,Master,No,Neither
77,330,11:35:40,ALISTAIR,WILLIAMS,Sailboard,Result,23.71,Mr,Master,No,Neither
78,95,14:03:12,Stephen,Cronshaw,Sailboard,Result,23.59,Mr,Neither,Yes,Neither
79,24,11:36:29,Trevor,Funnell,Sailboard,Result,23.50,Mr,Master,No,Neither
80,773,14:53:41,Adrian,Nisbet,Sailboard,Result,23.27,Mr,Neither,Yes,Neither
81,248,14:00:05,MArcus,Partridge,Sailboard,Result,23.01,Mr,Neither,No,Neither
82,425,10:59:18,Sam,Jenkins,Sailboard,Result,23.01,Mr,Junior,No,Gold Fleet
83,8,13:59:29,Raj,Kandasamy,Sailboard,Result,22.80,Mr,Neither,No,Neither
84,66,11:28:51,Alex,Bennett- Baggs,Sailboard,Result,22.80,Mr,Neither,No,Neither
85,206,14:03:30,martin,allman,Sailboard,Result,22.14,Mr,Master,No,Neither
86,349,11:07:31,Bruno,Warner,Sailboard,Result,21.91,Mr,Master,No,Neither
87,104,11:05:13,Will,Houghton,Sailboard,Result,21.53,Mr,Junior,Yes,Neither
88,23,11:51:45,barry,mason,Sailboard,Result,21.53,Mr,Master,No,Neither
89,343,11:59:26,andrew,robinson,Sailboard,Result,21.49,Mr,Junior,No,Neither
90,90,14:53:59,ian,blundell,Sailboard,Result,21.23,Mr,Neither,Yes,Neither
91,852,13:57:08,Henry,Bloodworth,Sailboard,Result,19.39,Mr,Junior,No,Neither
92,714,11:07:52,Emily,Hall,Sailboard,Result,16.72,Miss,Junior,Yes,Gold Fleet
93,112,14:35:43,Emily,Wood,Sailboard,Result,15.03,Miss,Neither,No,Neither
94,101,13:09:58,Torix,Bennett,Boat,Result,12.35,Mr,Master,No,Gold Fleet
95,54,13:46:22,Alan,Blundell,Boat,Result,12.27,Mr,Master,No,Neither
96,5,14:39:49,Jean,Hurtado,Boat,Result,5.29,Mr,Master,No,Neither
