Position,Sail Number,Time,FirstName,LastName,CraftType,Title,Speed,Title,AgeStatus,Novice,Professional
1,625,14:00:20,Jason,McCaffrey,Kite Board,Result,31.56,Mr,Neither,No,Gold Fleet
2,622,13:11:17,Richard,Fabbri,Kite Board,Result,30.40,Mr,Neither,Yes,Neither
3,52,GPS,Patrick,Van Hoof,Sailboard,Result,30.13,Mr,Master,Yes,Gold Fleet
4,521,GPS,dan,ellis,Sailboard,Result,30.09,Mr,Neither,No,Professional
5,10,GPS,Anders,Bringdal,Sailboard,Result,29.66,Mr,Neither,No,Professional
6,115,10:57:24,stephen,corps,Sailboard,Result,29.54,Mr,Neither,No,Gold Fleet
7,175,10:43:35,Robin,Penna,Sailboard,Result,29.47,Mr,Master,No,Gold Fleet
8,609,11:59:03,philip,ladbrook,Kite Board,Result,29.07,Mr,Master,Yes,Gold Fleet
9,68,GPS,MARTYN,OGIER,Sailboard,Result,28.84,Mr,Neither,No,Professional
10,873,10:59:01,Lance,Newbery,Sailboard,Result,28.55,Mr,Neither,No,Gold Fleet
11,181,13:17:45,Peter,Martin,Sailboard,Result,28.49,Mr,Neither,No,Neither
12,157,11:06:57,nigel,spriggs,Sailboard,Result,28.35,Mr,Neither,No,Gold Fleet
13,14,11:27:01,Ian,Hill,Sailboard,Result,28.31,Mr,Neither,No,Gold Fleet
14,77,GPS,Anthony,Baker,Sailboard,Result,28.27,Mr,Neither,No,Professional
15,129,10:55:26,Tim,Fricke,Sailboard,Result,28.07,Mr,Neither,No,Neither
16,328,13:20:51,Adrian,Wallis,Sailboard,Result,28.05,Mr,Master,No,Gold Fleet
17,888,13:13:46,Michael,George,Sailboard,Result,27.99,Mr,Neither,No,Neither
18,69,13:09:42,Gareth,Baker,Sailboard,Result,27.96,Mr,Neither,No,Gold Fleet
19,63,GPS,Dave,White,Sailboard,Result,27.83,Mr,Neither,No,Professional
20,203,10:44:22,Dave,Standing,Sailboard,Result,27.69,Mr,Master,No,Gold Fleet
21,140,14:17:03,Steve,Jones,Sailboard,Result,27.62,Mr,Neither,No,Gold Fleet
22,151,14:00:47,sam,latham,Sailboard,Result,27.61,Mr,Neither,No,Neither
23,102,13:18:11,Norman,Petty,Sailboard,Result,27.41,Mr,Master,No,Neither
24,626,10:45:43,martin,hayes,Kite Board,Result,27.34,Mr,Neither,No,Neither
25,559,11:04:11,TONY,ATTFIELD,Sailboard,Result,27.31,Mr,Neither,No,Neither
26,47,GPS,Zara,Davis,Sailboard,Result,27.30,Mrs,Neither,No,Gold Fleet
27,951,GPS,Fred,Willis,Sailboard,Result,27.28,Mr,Neither,No,Professional
28,29,10:53:21,Tony,Robinson,Sailboard,Result,27.16,Mr,Master,No,Neither
29,99,10:57:16,steve,franklyn,Sailboard,Result,27.11,Mr,Neither,Yes,Gold Fleet
30,56,13:18:53,Tim,Lawes,Sailboard,Result,27.09,Mr,Neither,No,Gold Fleet
31,76,10:42:01,Simon,Perkins,Sailboard,Result,27.07,Mr,Neither,No,Neither
32,983,10:50:44,HAMISH,GODDARD,Sailboard,Result,27.00,Mr,Master,Yes,Neither
33,131,GPS,Paul,Simmons,Sailboard,Result,26.95,Mr,Neither,No,Professional
34,681,10:43:13,Alan,Cross,Sailboard,Result,26.92,Mr,Master,No,Gold Fleet
35,358,11:28:42,Gerard,Northwood,Sailboard,Result,26.78,Mr,Master,No,Gold Fleet
36,568,13:09:17,alex,burges,Sailboard,Result,26.68,Mr,Neither,Yes,Neither
37,73,GPS,Pete,Davis,Sailboard,Result,26.65,Mr,Neither,No,Professional
38,50,13:16:26,BARRY,PEARCE,Sailboard,Result,26.55,Mr,Master,No,Neither
39,79,10:52:24,Rob,King,Sailboard,Result,26.49,Mr,Master,Yes,Neither
40,93,11:35:44,Richard,Hobson,Sailboard,Result,26.47,Mr,Neither,No,Neither
41,44,14:23:24,Dave,Strudwick,Sailboard,Result,26.46,Mr,Master,No,Gold Fleet
42,2,14:14:36,Will,Oscroft,Sailboard,Result,26.24,Mr,Neither,No,Neither
43,55,11:56:06,James,Lawton,Sailboard,Result,26.23,Mr,Neither,Yes,Neither
44,133,10:38:59,Mark,Briggs,Sailboard,Result,26.07,Mr,Neither,Yes,Neither
45,292,13:08:01,Nic,Dodd,Sailboard,Result,25.93,Mr,Neither,No,Neither
46,15,GPS,Thorsten,Niehaus,Sailboard,Result,25.87,Mr,Neither,No,Professional
47,51,14:18:31,Clive,Ellis,Sailboard,Result,25.86,Mr,Master,No,Neither
48,496,11:44:23,Tim,Tarrington,Sailboard,Result,25.68,Mr,Neither,No,Neither
