Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,James Battye,Men's Sailboard,Gold Fleet
3,Simon Cofield,Men's Sailboard,Pro Fleet
4,Simon Pettifer,Men's Sailboard,Pro Fleet
5,Leigh Kingaby,Men's Sailboard,Pro Fleet
6,Scotty Stallman,Men's Sailboard,Pro Fleet
7,Paul Sibley,Men's Sailboard,Gold Fleet
8,Kacper Wozniak,Men's Sailboard,Gold Fleet
9,Alex Smith,Men's Sailboard,Gold Fleet
10,Adrian Wallis,Men's Sailboard,Gold Fleet
11,George Fulton,Men's Sailboard,Gold Fleet
12,Dave Strudwick,Men's Sailboard,Gold Fleet
13,Peter Crosby,Men's Sailboard,Gold Fleet
14,Garry Connell,Men's Sailboard,Gold Fleet
15,Jason Sawyer,Men's Sailboard,Amateur
16,Trevor Whatford,Men's Sailboard,Amateur
17,Tom Joyce,Men's Sailboard,Amateur
18,Stephen Sugden,Men's Sailboard,Amateur
19,Nic Dodd,Men's Sailboard,Amateur
