Name,Sail Number,Time,Wind Start,Wind Finish,Speed (kts)
Ian Hill,14,14:55:41,19,17,24.61
Ian Hill,14,15:36:07,10,15,24.02
Ian Hill,14,14:45:55,10,20,24.02
Ian Hill,14,15:05:08,11,16,23.78
Ian Hill,14,15:30:34,11,20,23.68
Ian Hill,14,15:23:16,9,20,23.65
Ian Hill,14,15:00:27,10,16,23.45
Ian Hill,14,15:11:07,16,18,23.27
Ian Hill,14,14:40:35,10,18,22.88
Ian Hill,14,15:41:21,8,16,22.85
Ian Hill,14,14:50:33,0,18,22.83
Ian Hill,14,13:15:26,0,19,21.75
Ian Hill,14,13:25:05,0,18,21.73
Ian Hill,14,13:02:11,0,15,21.26
Ian Hill,14,13:20:40,13,18,21.24
Ian Hill,14,13:29:56,0,19,21.1
Ian Hill,14,13:11:36,12,16,20.91
Ian Hill,14,12:57:18,10,17,18.2
David Garrel,22,15:40:07,10,17,27
David Garrel,22,15:23:21,15,19,26.18
David Garrel,22,14:36:25,16,15,26.03
David Garrel,22,15:27:24,14,18,25.61
David Garrel,22,14:40:18,13,20,25.61
David Garrel,22,14:53:29,12,16,25.44
David Garrel,22,14:28:14,16,21,24.9
David Garrel,22,15:14:21,13,17,24.77
David Garrel,22,14:24:14,13,15,24.32
David Garrel,22,13:36:30,16,14,22.4
David Garrel,22,15:03:04,13,15,3.16
Barry Mason,23,14:30:16,0,20,22.42
Barry Mason,23,13:10:13,10,20,20.09
Barry Mason,23,12:22:26,0,16,20.05
Barry Mason,23,13:19:07,0,16,19.9
Barry Mason,23,13:26:59,0,15,19.33
Barry Mason,23,13:00:46,0,14,18.83
Barry Mason,23,15:06:53,13,18,18.76
Barry Mason,23,12:46:17,13,17,17.95
Trevor Funnell,24,15:18:25,0,14,21.65
Trevor Funnell,24,15:08:04,8,19,20.87
Trevor Watford,27,15:37:08,12,18,21.68
Trevor Watford,27,14:52:05,14,18,19.88
Tony Attfield,46,15:36:06,11,16,24.39
Tony Attfield,46,14:56:48,11,17,23.28
Tony Attfield,46,14:49:33,5,19,23.16
Tony Attfield,46,15:41:26,9,16,22.99
Tony Attfield,46,13:31:11,14,16,22.08
Tony Attfield,46,15:04:01,0,17,21.7
Tony Attfield,46,14:43:23,14,20,0.26
Dan Ellis,52,15:25:07,12,14,29.07
Dan Ellis,52,15:39:53,14,18,28.81
Dan Ellis,52,15:20:05,8,17,27.96
Dan Ellis,52,15:15:02,0,17,27.51
Dan Ellis,52,15:09:56,8,16,26.06
Dan Ellis,52,15:18:09,12,16,23.22
Richard Holgate,53,14:30:53,11,20,22.86
Richard Holgate,53,14:21:48,11,16,22.8
Richard Holgate,53,14:51:07,0,19,22.21
Richard Holgate,53,14:12:54,0,20,21.24
Richard Holgate,53,13:11:18,0,14,20.16
Richard Holgate,53,14:17:33,14,18,19.19
Nick Scott,55,14:26:37,0,19,26.89
Nick Scott,55,14:14:10,5,20,25.93
Nick Scott,55,14:53:54,7,19,25.75
Nick Scott,55,15:35:20,7,17,25.27
Nick Scott,55,15:00:55,7,15,24.71
Nick Scott,55,14:46:59,0,20,24.49
Nick Scott,55,14:20:48,0,17,24.08
Nick Scott,55,13:24:11,0,15,24.05
Nick Scott,55,13:18:39,11,19,23.66
Nick Scott,55,13:31:01,13,18,23.13
Nick Scott,55,14:34:56,0,18,22.53
Nick Scott,55,13:09:28,14,17,21.41
Keith Atkinson,56,13:35:51,13,15,22.4
Keith Atkinson,56,13:30:08,10,20,12.53
Gareth Baker,69,14:27:29,15,18,24.71
Gareth Baker,69,15:29:56,13,19,24.55
Gareth Baker,69,15:24:20,13,18,24.32
Gareth Baker,69,14:44:54,8,20,24.23
Gareth Baker,69,14:50:42,0,19,24.14
Gareth Baker,69,15:42:00,12,21,24.11
Gareth Baker,69,14:58:11,0,19,24.11
Gareth Baker,69,15:05:25,13,18,23.87
Gareth Baker,69,15:35:13,12,19,23.65
Gareth Baker,69,15:18:28,0,13,23.63
Gareth Baker,69,14:20:21,8,17,23.08
Gareth Baker,69,15:12:29,14,19,22.77
Gareth Baker,69,12:13:19,6,15,21.93
Gareth Baker,69,12:26:52,12,16,21.68
Gareth Baker,69,12:20:00,12,17,21.39
Gareth Baker,69,12:35:01,0,15,21.32
Dion Hunt,71,13:19:42,13,21,23.28
Dion Hunt,71,13:33:33,7,18,22.53
Dion Hunt,71,14:28:55,14,17,21.96
Dion Hunt,71,14:54:51,10,19,21.93
Dion Hunt,71,13:38:22,10,17,21.68
Dion Hunt,71,14:33:30,0,20,21.36
Dion Hunt,71,13:14:16,0,15,21.33
Dion Hunt,71,13:27:36,12,18,21.26
Dion Hunt,71,13:06:49,12,19,21.12
Dion Hunt,71,15:24:00,8,16,20.84
Dion Hunt,71,15:18:14,11,15,20.09
Dion Hunt,71,12:51:04,12,16,18.93
Dion Hunt,71,12:56:36,11,15,18.68
Anton Poll,72,15:13:05,10,17,18.9
Robin Penna,75,14:38:16,16,17,23.22
Robin Penna,75,14:55:19,13,18,23.2
Robin Penna,75,15:36:33,15,19,22.69
Robin Penna,75,15:22:47,0,18,22.21
Robin Penna,75,13:27:16,6,17,22.11
Robin Penna,75,15:41:38,7,17,22.05
Robin Penna,75,15:00:04,10,17,21.91
Robin Penna,75,12:45:44,0,17,21.8
Robin Penna,75,13:08:50,0,19,21.73
Robin Penna,75,13:23:33,10,18,21.6
Robin Penna,75,12:37:42,0,15,21.6
Robin Penna,75,15:09:35,10,16,21.45
Robin Penna,75,12:50:55,0,15,21.41
Robin Penna,75,13:17:18,0,19,21.31
Robin Penna,75,13:02:29,10,18,21.13
Robin Penna,75,12:57:54,15,18,21.12
Robin Penna,75,14:53:50,12,15,18.74
David Temple,77,15:38:28,7,16,21.98
David Temple,77,14:31:21,16,17,21.41
David Temple,77,14:55:18,11,18,21.31
David Temple,77,14:38:35,13,17,21.1
David Temple,77,13:37:08,0,16,20.48
David Temple,77,13:22:32,11,16,20.35
David Temple,77,13:27:44,6,17,20.13
David Temple,77,15:03:26,13,18,19.65
Simon Gregory,82,15:25:28,12,18,22.69
Simon Gregory,82,14:44:16,7,20,21.83
Amy Carter,85,14:29:04,13,18,22.91
Amy Carter,85,15:35:38,4,17,22.69
Amy Carter,85,15:41:51,16,18,22.29
Amy Carter,85,15:28:39,9,17,22.08
Amy Carter,85,14:34:30,9,18,22.03
Amy Carter,85,14:48:23,14,19,21.93
Amy Carter,85,14:53:36,14,17,21.41
Amy Carter,85,15:01:47,13,16,21.07
Amy Carter,85,14:24:07,9,15,21.03
Amy Carter,85,14:41:52,10,18,20.82
Amy Carter,85,15:08:34,9,19,20.64
Amy Carter,85,13:30:38,11,21,20.24
Amy Carter,85,15:21:25,0,17,2.26
Mark Newman,92,14:42:05,13,19,24.02
Mark Newman,92,14:48:48,14,19,23.11
Mark Newman,92,14:59:02,13,15,22.96
Mark Newman,92,15:33:53,11,18,22.51
Mark Newman,92,14:31:07,12,18,22.16
Mark Newman,92,14:25:51,0,20,22.11
Mark Newman,92,13:23:02,0,18,21.51
Mark Newman,92,13:10:52,0,14,21.36
Mark Newman,92,13:16:22,15,17,20.93
Mark Newman,92,13:29:25,7,14,20.2
Mark Newman,92,13:05:01,0,18,20.13
Mark Newman,92,15:06:24,10,16,19.88
Mark Newman,92,12:58:05,0,19,19.71
Mark Minter,100,14:27:53,0,17,24.58
Mark Minter,100,14:41:00,10,17,23.65
Mark Minter,100,15:29:48,0,20,23.13
Mark Minter,100,13:16:51,0,19,21.8
Mark Minter,100,13:12:48,11,17,21.78
Mark Minter,100,14:50:16,10,20,21.34
Mark Minter,100,12:46:47,11,16,21.31
Mark Minter,100,14:58:09,6,18,21.26
Mark Minter,100,14:35:07,8,19,21.13
Mark Minter,100,12:15:34,11,16,20.93
Mark Minter,100,12:22:03,9,17,20.84
Mark Minter,100,15:19:24,0,18,20.46
Mark Minter,100,15:09:06,9,19,19.71
Mark Minter,100,12:34:40,13,15,19.61
Mark Minter,100,12:52:31,0,17,19.57
Emile Burnaby Lautier,108,13:01:16,10,20,15.12
Emile Burnaby Lautier,108,12:54:11,0,18,15.81
Emile Burnaby Lautier,108,13:08:14,15,16,15.29
Emile Burnaby Lautier,108,12:46:53,15,18,13.36
Emile Burnaby Lautier,108,12:57:50,0,0,10.19
Paul Morris,111,13:19:36,13,17,25.33
Paul Morris,111,13:35:18,8,17,24.58
Paul Morris,111,13:25:43,12,15,24.39
Paul Morris,111,12:13:56,0,20,24.08
Paul Morris,111,13:10:30,0,15,24.04
Paul Morris,111,13:00:39,14,16,23.84
Paul Morris,111,12:19:34,8,17,23.75
Paul Morris,111,12:55:02,13,17,23.54
Paul Morris,111,12:44:01,14,17,23.39
Paul Morris,111,12:36:05,14,16,23.16
Paul Morris,111,12:09:40,14,20,22.64
Paul Morris,111,13:05:55,7,16,22.56
Paul Morris,111,12:24:26,12,15,21.96
Paul Morris,111,12:49:57,0,16,21.78
Paul Morris,111,13:14:48,14,16,21.1
Nigel Spriggs,118,15:38:01,10,17,24.77
Nigel Spriggs,118,15:11:30,7,15,22.32
