Place,HelmName,Fleet,Status
1,Martyn Ogier,Men,Pro Fleet
2,David Garrel,Men,Pro Fleet
3,Alain De Gendt,Men,Gold Fleet
4,Daniel Borgelind,Men,Gold Fleet
5,Torsten Mallon,Men,Pro Fleet
6,Patrick Van Hoof,Men,Pro Fleet
7,Anders Bjorkqvist,Men,Gold Fleet
8,Jeroen Van Hoydonck,Men,Gold Fleet
