Place,Helmname,Fleet
1,Antony Baker,Men's Sailboard
2,Simon Cofield,Men's Sailboard
3,Kevin Greenslade,Men's Sailboard
4,Jim Crossley,Men's Sailboard
5,Jack Trollope,Men's Sailboard
6,Matthew Spooner,Men's Sailboard
7,Dave Strudwick,Men's Sailboard
8,Tom Wells,Men's Sailboard
9,Mark Ingram,Men's Sailboard
10,Gavin Furmenger,Men's Sailboard
10,Allan Cross,Men's Sailboard
12,Adrian Wallis,Men's Sailboard
13,Tony Attfield,Men's Sailboard
14,Nic Dodd,Men's Sailboard
15,Ben Marshall,Men's Sailboard
16,Henry Bloodworth,Men's Sailboard
17,Tommy Walters,Men's Sailboard
18,Martin Allman,Men's Sailboard
