Rank,Speed (kts),Name,Runs,Sail Number
1,31.59,Richard Ashenden,11,19
2,29.61,Richard Jones,9,213
3,28.89,Jim Paine,7,17
4,28.77,Tony Morris,8,11
5,28.31,angus hitchen,7,7
6,27.87,Richard Trubger,13,124
7,27.64,Mike Pearce,10,9
8,27.43,Pete Martin,6,181
9,26.41,Trevor Whatford,9,27
10,26.31,Matt Brown,3,3
11,25.64,Sean Carroll,3,171
12,25.10,Jeremy Walwin,2,20
13,22.68,Dale Clarke,2,44
14,20.94,Peter Watkinson,1,808
15,11.54,John Peperell,7,13
16,10.85,Alex Montgomery,8,1
