Rank,Speed (kts),Craft Type,Name,Runs,Sail Number
1,16.92,Boat,Joddy Chapman,27,141
2,14.69,Sailboard,Nick Povey,10,111
3,11.46,Boat,Bob Date,14,458
4,10.52,Boat,Philip Middleton,11,99
5,8.36,Sailboard,Richard Holgate,6,53
6,6.97,Sailboard,Trevor Whatford,9,27
