Sail Number,Name,Time,Speed
11,Bjorn Dunkerbeck,15:22:02,29.88
666,matthew burridge,15:05:35,29.77
131,Paul Simmons,15:01:17,28.64
40,Simon Hinkley,15:13:23,27.77
7,Tristan Drane,15:11:49,27.76
480,Tony Ireland,15:01:49,27.48
31,Paul Morris,15:16:07,27.37
440,James Grant,15:26:10,27.24
413,Neil Hardwick,15:15:44,27.12
604,Tony Morris,15:21:19,26.59
14,Ian Hill,12:26:43,26.44
157,nigel spriggs,13:57:41,26.34
52,Dan Ellis,16:21:14,26.30
180,John Sanderson,13:10:07,25.86
863,Duncan Adam,15:12:01,25.78
625,nigel bowley,14:08:18,25.44
44,David Strudwick,15:21:03,25.41
27,Trevor Whatford,15:06:13,25.41
4,Will Oscroft,14:31:33,25.14
100,Mark Minter,13:10:59,25.13
651,Orlando Lavandera Rodriguez,13:20:51,24.93
93,Jim Paine,13:20:57,24.91
122,David Ellerbeck,12:22:34,24.84
151,Norman Betts,15:18:13,24.80
559,Tony Attfield,12:22:49,24.80
181,Peter Martin,13:45:46,24.51
945,Sam Gooch,12:17:13,24.50
112,Eugene Dunkerbeck,13:09:06,24.36
169,Austin Hind,16:19:10,24.36
68,Alan Cross,15:25:25,24.08
96,Carl Miller,11:53:59,24.01
197,David Goodrich,15:48:39,23.93
53,Richard Holgate,13:24:56,23.89
86,Jonathan Mobbs,13:20:32,23.71
206,martin allman,15:04:38,23.69
73,Peter Davis,14:13:44,23.69
29,Tony Robinson,13:53:15,23.63
97,Mike Price,13:45:06,23.33
555,claude van-martyn,15:41:34,23.33
330,ALISTAIR WILLIAMS,13:46:36,23.28
332,Mike Coombes,11:28:43,23.23
30,Dave Standing,11:59:16,23.20
670,Edward Murrell,13:39:36,22.96
71,Dion Hunt,13:39:43,22.85
598,Michael John Roberts,14:12:57,22.79
17,JAMES PAINE,15:53:50,22.69
33,mark hayford,12:20:20,22.58
23,barry mason,14:09:13,22.42
66,nick brumfitt,11:42:27,22.27
215,george warren,14:11:01,22.21
12,Simon Burgess,13:20:47,22.18
51,Clive Ellis,12:10:45,22.14
188,Roger Crab,12:18:46,21.74
888,Thor Gustafsson,15:02:44,21.32
333,david barnard,13:36:01,20.92
26,Brian Leake,12:18:56,20.61
8,les paley,13:32:09,20.36
171,Sean Carroll,13:31:46,20.23
58,Graeme Fuller,13:53:41,20.14
349,Brian Warner,15:27:38,20.14
277,Kévin GOBIN,13:19:05,15.00
101,Torix Bennett,13:23:34,14.60
99,GORDON ROACH,11:02:27,6.12
777,Stephen Thorpe,15:17:25,4.66
