Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-08,11:51:52,333,17.274,22.00,0.00,0.785
1998-10-08,11:57:04,171,18.547,20.00,0.00,0.927
1998-10-08,12:00:33,11,23.048,15.00,0.00,1.537
1998-10-08,12:00:50,905,19.998,14.00,0.00,1.428
1998-10-08,12:04:35,333,20.787,16.00,0.00,1.299
1998-10-08,12:06:45,11,7.914,17.00,0.00,0.466
1998-10-08,12:08:12,101,18.889,12.00,0.00,1.574
1998-10-08,12:08:48,905,23.081,20.00,0.00,1.154
1998-10-08,12:09:25,9,3.320,17.00,0.00,0.195
1998-10-08,12:10:03,711,21.804,15.00,0.00,1.454
1998-10-08,12:10:14,11,24.511,14.00,0.00,1.751
1998-10-08,12:14:21,9,22.747,16.00,0.00,1.422
1998-10-08,12:17:24,711,8.271,17.00,0.00,0.487
1998-10-08,12:20:19,13,5.841,12.00,0.00,0.487
1998-10-08,12:23:25,11,5.276,13.00,0.00,0.406
1998-10-08,12:26:37,711,23.805,21.00,0.00,1.134
1998-10-08,12:27:20,47,26.331,13.00,0.00,2.025
1998-10-08,12:28:16,171,21.244,14.00,0.00,1.517
1998-10-08,12:30:26,711,21.806,13.00,0.00,1.677
1998-10-08,12:30:48,13,8.557,12.00,0.00,0.713
1998-10-08,12:30:52,11,23.678,13.00,0.00,1.821
1998-10-08,12:32:16,1,15.756,11.00,0.00,1.432
1998-10-08,12:32:20,47,23.453,14.00,0.00,1.675
1998-10-08,12:33:56,711,22.745,14.00,0.00,1.625
1998-10-08,12:37:34,47,16.678,13.00,0.00,1.283
1998-10-08,12:37:55,101,15.530,16.00,0.00,0.971
1998-10-08,12:45:19,171,20.591,17.00,0.00,1.211
1998-10-08,12:47:16,1,14.955,11.00,0.00,1.360
1998-10-08,12:47:46,47,24.443,12.00,0.00,2.037
1998-10-08,12:48:13,711,21.941,16.00,0.00,1.371
1998-10-08,13:33:27,9,19.153,16.00,0.00,1.197
1998-10-08,13:34:53,1,14.570,14.00,0.00,1.041
1998-10-08,13:36:09,101,14.252,19.00,0.00,0.750
1998-10-08,13:38:53,47,25.819,14.00,0.00,1.844
1998-10-08,13:41:57,30,8.899,18.00,0.00,0.494
1998-10-08,13:58:02,11,22.787,16.00,0.00,1.424
1998-10-08,13:58:42,13,9.350,16.00,0.00,0.584
1998-10-08,13:59:00,101,16.080,15.00,0.00,1.072
1998-10-08,14:01:54,11,22.234,12.00,0.00,1.853
1998-10-08,14:05:26,11,25.770,16.00,0.00,1.611
1998-10-08,14:06:00,711,22.675,18.00,0.00,1.260
1998-10-08,14:06:14,47,24.173,16.00,0.00,1.511
1998-10-08,14:07:20,458,14.580,14.00,0.00,1.041
1998-10-08,14:07:45,101,19.761,12.00,0.00,1.647
1998-10-08,14:08:05,18,18.634,14.00,0.00,1.331
1998-10-08,14:10:22,11,23.401,16.00,0.00,1.463
1998-10-08,14:11:23,13,8.827,21.00,0.00,0.420
1998-10-08,14:13:16,458,13.117,19.00,0.00,0.690
1998-10-08,14:14:12,711,24.728,16.00,0.00,1.546
1998-10-08,14:15:14,18,11.670,13.00,0.00,0.898
1998-10-08,14:16:46,11,26.177,17.00,0.00,1.540
1998-10-08,14:17:42,47,27.681,21.00,0.00,1.318
1998-10-08,14:19:22,30,14.581,21.00,0.00,0.694
1998-10-08,14:21:47,458,14.108,14.00,0.00,1.008
1998-10-08,14:22:43,18,11.302,14.00,0.00,0.807
1998-10-08,14:23:14,11,20.219,13.00,0.00,1.555
1998-10-08,14:24:06,47,21.107,18.00,0.00,1.173
1998-10-08,14:26:19,9,10.707,13.00,0.00,0.824
1998-10-08,14:29:56,11,25.240,10.00,0.00,2.524
1998-10-08,14:31:41,18,13.645,17.00,0.00,0.803
1998-10-08,14:33:17,27,19.303,21.00,0.00,0.919
1998-10-08,14:34:42,101,18.208,14.00,0.00,1.301
1998-10-08,14:34:46,30,15.402,13.00,0.00,1.185
1998-10-08,14:34:50,11,22.261,16.00,0.00,1.391
1998-10-08,14:36:37,9,21.527,18.00,0.00,1.196
1998-10-08,14:37:02,711,25.663,14.00,0.00,1.833
1998-10-08,14:37:39,47,5.510,16.00,0.00,0.344
1998-10-08,14:39:30,905,25.205,15.00,0.00,1.680
1998-10-08,14:41:51,9,22.872,17.00,0.00,1.345
1998-10-08,14:43:38,47,18.577,12.00,0.00,1.548
1998-10-08,14:44:10,101,17.263,15.00,0.00,1.151
1998-10-08,14:44:43,18,14.419,22.00,0.00,0.655
1998-10-08,14:45:37,30,15.652,17.00,0.00,0.921
1998-10-08,14:46:00,905,23.733,21.00,0.00,1.130
1998-10-08,14:46:36,11,24.109,17.00,0.00,1.418
1998-10-08,14:46:50,9,25.274,17.00,0.00,1.487
1998-10-08,14:46:56,47,28.770,16.00,0.00,1.798
1998-10-08,14:48:04,711,28.680,18.00,0.00,1.593
1998-10-08,14:52:20,11,23.519,12.00,0.00,1.960
1998-10-08,14:52:26,3,5.206,14.00,0.00,0.372
1998-10-08,14:54:04,101,22.619,15.00,0.00,1.508
1998-10-08,14:54:54,27,21.454,16.00,0.00,1.341
1998-10-08,14:56:38,11,24.560,15.00,0.00,1.637
