Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-04,12:05:10,99,3.369,15.00,0.00,0.225
1998-10-04,12:11:38,99,4.870,12.00,0.00,0.406
1998-10-04,12:35:11,101,10.751,13.00,0.00,0.827
1998-10-04,12:37:27,47,21.977,6.00,0.00,3.663
1998-10-04,12:39:15,33,19.604,16.00,0.00,1.225
1998-10-04,12:39:31,101,11.442,13.00,0.00,0.880
1998-10-04,12:42:48,47,15.994,12.00,0.00,1.333
1998-10-04,12:43:52,333,10.430,12.00,0.00,0.869
1998-10-04,12:45:44,101,14.505,2.00,0.00,7.253
1998-10-04,12:46:20,47,16.810,13.00,0.00,1.293
1998-10-04,12:48:48,10,7.444,11.00,0.00,0.677
1998-10-04,12:48:54,47,7.797,10.00,0.00,0.780
1998-10-04,12:50:31,101,11.959,10.00,0.00,1.196
1998-10-04,12:52:52,10,6.424,13.00,0.00,0.494
1998-10-04,12:58:19,458,9.880,16.00,0.00,0.618
1998-10-04,13:02:31,10,5.929,9.00,0.00,0.659
1998-10-04,13:03:20,458,8.458,10.00,0.00,0.846
1998-10-04,13:06:29,458,9.556,7.00,0.00,1.365
1998-10-04,13:07:01,10,9.926,11.00,0.00,0.902
1998-10-04,13:09:00,1,12.626,12.00,0.00,1.052
1998-10-04,13:09:29,101,11.265,2.00,0.00,5.633
1998-10-04,13:10:40,171,6.996,12.00,0.00,0.583
1998-10-04,13:11:35,10,6.327,14.00,0.00,0.452
1998-10-04,13:12:19,1,14.863,10.00,0.00,1.486
1998-10-04,13:38:19,905,6.503,9.00,0.00,0.723
1998-10-04,13:39:40,1,10.652,8.00,0.00,1.332
1998-10-04,13:40:25,101,8.463,10.00,0.00,0.846
1998-10-04,13:40:37,458,11.611,13.00,0.00,0.893
1998-10-04,13:42:53,905,6.741,12.00,0.00,0.562
1998-10-04,13:43:09,333,6.481,10.00,0.00,0.648
1998-10-04,13:43:18,171,4.212,11.00,0.00,0.383
1998-10-04,13:44:59,101,14.620,13.00,0.00,1.125
1998-10-04,13:45:06,458,9.768,10.00,0.00,0.977
1998-10-04,13:46:09,905,9.506,12.00,0.00,0.792
1998-10-04,13:46:48,1,15.265,14.00,0.00,1.090
1998-10-04,13:48:14,458,12.039,12.00,0.00,1.003
1998-10-04,13:49:47,1,12.929,9.00,0.00,1.437
1998-10-04,13:51:06,47,17.383,7.00,0.00,2.483
1998-10-04,13:54:02,1,13.586,11.00,0.00,1.235
1998-10-04,13:54:07,905,6.566,11.00,0.00,0.597
1998-10-04,13:54:47,470,18.096,12.00,0.00,1.508
1998-10-04,13:56:21,101,15.006,11.00,0.00,1.364
1998-10-04,13:57:10,1,13.586,10.00,0.00,1.359
1998-10-04,13:57:19,458,13.112,11.00,0.00,1.192
1998-10-04,13:59:00,112,15.005,11.00,0.00,1.364
1998-10-04,14:00:19,101,10.902,5.00,0.00,2.180
1998-10-04,14:00:53,11,5.653,7.00,0.00,0.808
1998-10-04,14:00:57,1,12.403,12.00,0.00,1.034
1998-10-04,14:01:42,47,15.083,13.00,0.00,1.160
1998-10-04,14:01:44,458,10.842,13.00,0.00,0.834
1998-10-04,14:03:49,1,12.535,10.00,0.00,1.253
1998-10-04,14:05:14,47,17.147,10.00,0.00,1.715
1998-10-04,14:06:38,101,14.755,10.00,0.00,1.475
1998-10-04,14:09:10,458,11.129,13.00,0.00,0.856
1998-10-04,14:09:56,11,10.127,13.00,0.00,0.779
1998-10-04,14:10:10,111,5.571,11.00,0.00,0.506
1998-10-04,14:10:22,101,11.045,13.00,0.00,0.850
1998-10-04,14:10:27,1,13.421,13.00,0.00,1.032
1998-10-04,14:10:46,47,17.451,8.00,0.00,2.181
1998-10-04,14:12:19,112,18.475,13.00,0.00,1.421
1998-10-04,14:12:29,47,21.076,14.00,0.00,1.505
1998-10-04,14:13:47,1,13.984,12.00,0.00,1.165
1998-10-04,14:14:42,47,16.338,8.00,0.00,2.042
1998-10-04,14:16:51,1,11.581,8.00,0.00,1.448
1998-10-04,14:17:54,101,4.947,11.00,0.00,0.450
1998-10-04,14:18:24,47,17.314,12.00,0.00,1.443
1998-10-04,14:21:29,11,5.838,8.00,0.00,0.730
1998-10-04,14:21:32,1,10.822,10.00,0.00,1.082
1998-10-04,14:22:10,111,5.199,13.00,0.00,0.400
1998-10-04,14:23:39,112,5.738,11.00,0.00,0.522
1998-10-04,14:27:38,47,15.452,12.00,0.00,1.288
1998-10-04,14:28:07,112,21.406,14.00,0.00,1.529
1998-10-04,14:30:11,101,10.156,10.00,0.00,1.016
1998-10-04,14:31:49,47,17.539,2.00,0.00,8.769
1998-10-04,14:32:05,5,19.647,15.00,0.00,1.310
1998-10-04,14:32:58,11,19.559,16.00,0.00,1.222
1998-10-04,14:34:57,5,8.512,12.00,0.00,0.709
1998-10-04,14:35:49,47,7.909,4.00,0.00,1.977
1998-10-04,14:38:08,112,5.439,12.00,0.00,0.453
1998-10-04,14:39:54,47,17.147,10.00,0.00,1.715
1998-10-04,14:40:15,101,11.300,14.00,0.00,0.807
1998-10-04,14:41:31,584,11.893,11.00,0.00,1.081
1998-10-04,14:41:37,47,19.282,12.00,0.00,1.607
1998-10-04,14:43:43,584,11.157,5.00,0.00,2.231
1998-10-04,14:47:15,1,10.519,9.00,0.00,1.169
1998-10-04,14:50:29,47,18.610,12.00,0.00,1.551
1998-10-04,14:51:01,1,14.140,12.00,0.00,1.178
1998-10-04,14:51:11,112,20.974,13.00,0.00,1.613
1998-10-04,14:51:23,5,20.802,13.00,0.00,1.600
1998-10-04,14:52:31,101,20.753,13.00,0.00,1.596
1998-10-04,14:52:46,11,18.931,14.00,0.00,1.352
1998-10-04,14:53:06,47,21.512,15.00,0.00,1.434
1998-10-04,14:53:23,5,20.513,13.00,0.00,1.578
1998-10-04,14:54:00,112,15.331,10.00,0.00,1.533
1998-10-04,14:54:05,1,13.269,11.00,0.00,1.206
1998-10-04,14:55:04,11,16.159,15.00,0.00,1.077
1998-10-04,14:55:27,584,15.926,15.00,0.00,1.062
1998-10-04,14:56:03,47,19.073,12.00,0.00,1.589
1998-10-04,14:56:51,101,7.699,6.00,0.00,1.283
1998-10-04,14:58:16,111,6.208,10.00,0.00,0.621
1998-10-04,14:59:26,112,19.218,11.00,0.00,1.747
1998-10-04,14:59:42,11,18.475,13.00,0.00,1.421
1998-10-04,15:01:13,584,10.469,14.00,0.00,0.748
1998-10-04,15:01:27,47,15.371,12.00,0.00,1.281
1998-10-04,15:02:48,1,10.563,9.00,0.00,1.174
1998-10-04,15:05:21,47,17.680,12.00,0.00,1.473
1998-10-04,15:07:28,112,7.368,8.00,0.00,0.921
1998-10-04,15:07:30,1,13.628,15.00,0.00,0.909
1998-10-04,15:07:39,584,17.451,10.00,0.00,1.745
1998-10-04,15:08:33,11,19.261,14.00,0.00,1.376
1998-10-04,15:09:26,112,20.705,15.00,0.00,1.380
1998-10-04,15:09:50,101,18.058,14.00,0.00,1.290
1998-10-04,15:10:24,47,20.902,13.00,0.00,1.608
