Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-05,11:38:17,10,10.262,13.00,0.00,0.789
1998-10-05,11:38:27,9,22.283,13.00,0.00,1.714
1998-10-05,11:38:35,1,12.632,13.00,0.00,0.972
1998-10-05,11:40:35,9,16.637,15.00,0.00,1.109
1998-10-05,11:41:38,10,7.308,11.00,0.00,0.664
1998-10-05,11:42:12,9,20.490,14.00,0.00,1.464
1998-10-05,11:43:42,1,10.531,13.00,0.00,0.810
1998-10-05,11:44:44,9,17.474,12.00,0.00,1.456
1998-10-05,11:47:06,11,16.425,11.00,0.00,1.493
1998-10-05,11:47:34,10,9.182,13.00,0.00,0.706
1998-10-05,11:47:48,9,20.488,14.00,0.00,1.463
1998-10-05,11:48:11,905,9.205,9.00,0.00,1.023
1998-10-05,11:49:14,1,11.020,12.00,0.00,0.918
1998-10-05,11:50:21,9,16.016,12.00,0.00,1.335
1998-10-05,11:51:33,333,14.807,9.00,0.00,1.645
1998-10-05,11:51:39,10,7.924,10.00,0.00,0.792
1998-10-05,11:53:53,1,10.192,10.00,0.00,1.019
1998-10-05,11:54:30,47,16.003,11.00,0.00,1.455
1998-10-05,11:55:33,905,14.224,13.00,0.00,1.094
1998-10-05,11:55:37,333,11.389,12.00,0.00,0.949
1998-10-05,11:56:47,10,9.736,13.00,0.00,0.749
1998-10-05,11:57:18,47,14.292,19.00,0.00,0.752
1998-10-05,11:58:40,47,18.532,12.00,0.00,1.544
1998-10-05,11:58:55,905,16.869,11.00,0.00,1.534
1998-10-05,11:59:16,1,10.593,13.00,0.00,0.815
1998-10-05,11:59:29,9,18.233,13.00,0.00,1.403
1998-10-05,12:00:35,47,21.186,14.00,0.00,1.513
1998-10-05,12:00:54,333,18.363,13.00,0.00,1.413
1998-10-05,12:01:28,11,21.286,17.00,0.00,1.252
1998-10-05,12:02:06,905,18.159,14.00,0.00,1.297
1998-10-05,12:02:19,9,20.558,16.00,0.00,1.285
1998-10-05,12:03:37,47,24.003,15.00,0.00,1.600
1998-10-05,12:04:06,9,18.105,16.00,0.00,1.132
1998-10-05,12:06:09,333,18.532,15.00,0.00,1.235
1998-10-05,12:06:20,47,14.844,9.00,0.00,1.649
1998-10-05,12:06:57,905,15.904,10.00,0.00,1.590
1998-10-05,12:07:25,11,16.917,8.00,0.00,2.115
1998-10-05,12:07:41,1,2.468,14.00,0.00,0.176
1998-10-05,12:07:44,33,11.101,9.00,0.00,1.233
