Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-09,15:38:00,9,5.797,12.00,0.00,0.483
1998-10-09,15:38:06,18,7.232,13.00,0.00,0.556
1998-10-09,15:38:51,27,18.282,12.00,0.00,1.523
1998-10-09,15:40:13,711,21.687,10.00,0.00,2.169
1998-10-09,15:40:21,458,11.359,10.00,0.00,1.136
1998-10-09,15:40:56,101,17.840,14.00,0.00,1.274
1998-10-09,15:41:23,47,22.120,15.00,0.00,1.475
1998-10-09,15:42:30,333,19.929,12.00,0.00,1.661
1998-10-09,15:43:26,10,8.415,14.00,0.00,0.601
1998-10-09,15:43:29,9,20.746,15.00,0.00,1.383
1998-10-09,15:43:53,711,21.451,14.00,0.00,1.532
1998-10-09,15:44:56,47,22.122,15.00,0.00,1.475
1998-10-09,15:45:59,11,21.219,12.00,0.00,1.768
1998-10-09,15:46:28,5,16.710,16.00,0.00,1.044
1998-10-09,15:46:39,584,18.357,15.00,0.00,1.224
1998-10-09,15:48:17,171,18.766,14.00,0.00,1.340
1998-10-09,15:48:23,458,13.665,15.00,0.00,0.911
1998-10-09,15:48:49,9,20.578,15.00,0.00,1.372
1998-10-09,15:49:03,98,5.486,14.00,0.00,0.392
1998-10-09,15:49:34,333,17.504,14.00,0.00,1.250
1998-10-09,15:49:46,101,18.512,14.00,0.00,1.322
1998-10-09,15:49:55,711,22.603,15.00,0.00,1.507
1998-10-09,15:50:37,5,20.698,17.00,0.00,1.218
1998-10-09,15:50:49,47,22.345,17.00,0.00,1.314
1998-10-09,15:51:14,11,21.742,14.00,0.00,1.553
1998-10-09,15:51:38,18,12.230,15.00,0.00,0.815
1998-10-09,15:51:58,584,19.883,15.00,0.00,1.326
1998-10-09,15:52:54,711,22.776,11.00,0.00,2.071
1998-10-09,15:53:31,9,21.091,15.00,0.00,1.406
1998-10-09,15:54:26,171,19.708,14.00,0.00,1.408
1998-10-09,15:55:30,5,20.674,15.00,0.00,1.378
1998-10-09,15:55:53,47,21.793,14.00,0.00,1.557
1998-10-09,15:56:08,30,13.187,14.00,0.00,0.942
1998-10-09,15:56:46,11,22.953,12.00,0.00,1.913
1998-10-09,15:56:56,458,14.012,11.00,0.00,1.274
1998-10-09,15:57:23,584,19.818,15.00,0.00,1.321
1998-10-09,15:57:42,9,24.750,17.00,0.00,1.456
1998-10-09,15:59:07,333,20.602,15.00,0.00,1.373
1998-10-09,15:59:43,47,21.822,16.00,0.00,1.364
1998-10-09,16:00:16,101,19.974,13.00,0.00,1.536
1998-10-09,16:00:42,711,21.713,13.00,0.00,1.670
1998-10-09,16:02:01,905,19.840,13.00,0.00,1.526
1998-10-09,16:03:17,584,18.947,13.00,0.00,1.457
1998-10-09,16:03:37,11,22.864,15.00,0.00,1.524
1998-10-09,16:04:42,711,20.411,14.00,0.00,1.458
1998-10-09,16:04:53,30,14.506,11.00,0.00,1.319
1998-10-09,16:05:56,333,19.862,11.00,0.00,1.806
1998-10-09,16:06:06,458,14.158,13.00,0.00,1.089
1998-10-09,16:07:05,5,20.650,15.00,0.00,1.377
1998-10-09,16:07:35,9,20.772,15.00,0.00,1.385
1998-10-09,16:08:17,47,19.050,13.00,0.00,1.465
1998-10-09,16:08:41,101,17.486,15.00,0.00,1.166
