Place,Helmname,Fleet
1,Richard Hobson,Men's Wingboard
2,James Bulson,Men's Wingboard
3,Denis Gordo,Men's Wingboard
4,Zack Peaple,Men's Wingboard
5,Sam Latham,Men's Wingboard
