Place,HelmName,Fleet,Status
1,Scotty Stallman,Men's Sailboard,Pro Fleet
2,Simon Pettifer,Men's Sailboard,Pro Fleet
3,Garry Connell,Men's Sailboard,Pro Fleet
4,Michael George,Men's Sailboard,Pro Fleet
5,Dave Strudwick,Men's Sailboard,Gold Fleet
6,Sam Latham,Men's Sailboard,Gold Fleet
7,John Oliver,Men's Sailboard,Gold Fleet
8,Richard Crosby,Men's Sailboard,Gold Fleet
9,Scott Harrison,Men's Sailboard,Gold Fleet
10,Russell Thompson,Men's Sailboard,Amateur
11,Andy Stuart-William,Men's Sailboard,Gold Fleet
12,Trevor Whatford,Men's Sailboard,Gold Fleet
13,Tim Bate,Men's Sailboard,Amateur
14,Eddie Marsh,Men's Sailboard,Gold Fleet
