Place,Helmname,Fleet
1,Richard Hobson,Men's Wingboard
2,James Bulson,Men's Wingboard
3,Denis Gordo,Men's Wingboard
4,Mark Salvage,Men's Wingboard
5,Andy Stuart-William,Men's Wingboard
