Place,HelmName,Fleet,Status
1,Kevin Greenslade,Men's Sailboard,Pro Fleet
2,Simon Cofield,Men's Sailboard,Pro Fleet
3,Nigel Spriggs,Men's Sailboard,Gold Fleet
4,Simon Pettifer,Men's Sailboard,Gold Fleet
5,Matthew York,Men's Sailboard,Gold Fleet
6,Allan Cross,Men's Sailboard,Pro Fleet
7,Jamie Walker,Men's Sailboard,Gold Fleet
8,Gavin Furmenger,Men's Sailboard,Amateur
9,Garry Connell,Men's Sailboard,Amateur
10,Matthew Spooner,Men's Sailboard,Gold Fleet
11,Mark Matthews,Men's Sailboard,Amateur
12,Adrian Wallis,Men's Sailboard,Gold Fleet
13,Alan Russell,Men's Sailboard,Amateur
14,Dave Strudwick,Men's Sailboard,Gold Fleet
15,Nic Dodd,Men's Sailboard,Gold Fleet
