Sail Number,Start Time,Finish Time,Elapsed Time,Speed,Course Length,Course Angle,Title,First Name,Last Name,Craft,Master or Junior,Novice,Professional
313,11:45:56,11:46:55,58.8467,17.26,522,54,Mr,john,benamati,Sailboard,Neither,No,Yes
23,11:45:08,11:46:07,58.8704,17.25,522,54,Mr,BARRY,MASON,Sailboard,Master,No,No
44,15:22:28,15:23:29,61.3371,17.16,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
71,11:02:15,11:03:14,59.2617,17.14,522,54,Mr,James,Morris,Sailboard,Neither,No,No
44,15:27:14,15:28:16,61.744,17.05,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
561,10:48:39,10:49:39,60.0322,16.92,522,54,Mr,Sam,Sills,Sailboard,Junior,No,No
507,11:18:02,11:19:02,60.0743,16.91,522,54,Mr,Sam,Sills,Sailboard,Junior,No,No
948,11:55:22,11:56:23,60.1211,16.90,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
598,11:20:23,11:21:23,60.163,16.88,522,54,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
23,11:21:46,11:22:46,60.1953,16.87,522,54,Mr,BARRY,MASON,Sailboard,Master,No,No
83,13:47:45,13:48:47,62.5376,16.83,541,69,Mr,David,Tuttlebee,Sailboard,Master,No,No
948,13:19:11,13:20:14,62.5902,16.82,541,69,Mr,liam,Round,Sailboard,Junior,No,Yes
480,13:54:09,13:55:12,62.8567,16.75,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
480,13:35:25,13:36:28,62.9069,16.74,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
151,14:09:52,14:10:56,63.1022,16.68,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
598,11:56:02,11:57:04,61.0251,16.65,522,54,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
10,13:37:55,13:38:58,63.3546,16.62,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
598,11:44:27,11:45:29,61.1819,16.60,522,54,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
598,13:40:02,13:41:06,63.4984,16.58,541,69,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
598,14:21:23,14:22:27,63.5162,16.57,541,69,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
10,14:10:58,14:12:02,63.542,16.57,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
388,13:48:03,13:49:07,63.5612,16.56,541,69,Mr,George,Turpin,Sailboard,Junior,Yes,No
598,13:22:55,13:23:59,63.6378,16.54,541,69,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
507,13:50:00,13:51:04,63.641,16.54,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
10,13:53:42,13:54:46,63.6808,16.53,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
23,11:11:35,11:12:36,61.6161,16.49,522,54,Mr,BARRY,MASON,Sailboard,Master,No,No
58,11:44:12,11:45:13,61.6778,16.47,522,54,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
451,11:49:11,11:50:12,61.7431,16.45,522,54,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
668,14:19:19,14:20:23,64.1246,16.42,541,69,Mr,william,rowles,Sailboard,Junior,No,No
480,13:13:00,13:14:04,64.2305,16.39,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
44,13:45:51,13:46:55,64.2815,16.38,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
507,14:25:14,14:26:19,64.3067,16.37,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
10,13:20:15,13:21:20,64.4298,16.34,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
901,10:55:58,10:57:00,62.2034,16.33,522,54,Mr,Richard,Simpson,Sailboard,Neither,No,No
901,11:21:22,11:22:24,62.2109,16.33,522,54,Mr,Richard,Simpson,Sailboard,Neither,No,No
863,13:40:13,13:41:18,64.5783,16.30,541,69,Mr,Duncan,Adam,Sailboard,Neither,No,No
144,11:53:45,11:54:48,62.6003,16.23,522,54,Mr,Steve,Giles,Sailboard,Neither,No,No
58,14:23:57,14:25:02,64.907,16.22,541,69,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
23,11:55:51,11:56:54,62.9688,16.13,522,54,Mr,BARRY,MASON,Sailboard,Master,No,No
670,11:22:07,11:23:10,63.027,16.12,522,54,Mr,Eddie,Murrell,Sailboard,Master,No,No
668,14:27:22,14:28:27,65.5621,16.06,541,69,Mr,william,rowles,Sailboard,Junior,No,No
68,13:52:42,13:53:48,65.5846,16.05,541,69,Mr,Allan,Cross,Sailboard,Neither,No,Yes
507,13:28:50,13:29:56,66.0086,15.95,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
179,10:34:42,10:35:46,63.7515,15.93,522,54,Mr,Ray,Smith,Sailboard,Master,Yes,No
559,11:11:13,11:12:18,63.8477,15.91,522,54,Mr,Tony,Attfield,Sailboard,Neither,No,No
948,12:02:15,12:03:19,64.1143,15.84,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
480,14:01:47,14:02:54,66.503,15.83,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
151,11:59:29,12:00:33,64.2576,15.81,522,54,Mr,Sam,Latham,Sailboard,Junior,No,No
58,13:46:34,13:47:41,66.897,15.74,541,69,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
58,14:16:41,14:17:49,67.2285,15.66,541,69,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
668,13:48:26,13:49:33,67.3046,15.64,541,69,Mr,william,rowles,Sailboard,Junior,No,No
598,14:11:30,14:12:38,67.4133,15.62,541,69,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
10,14:02:17,14:03:24,67.8547,15.51,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
10,14:20:52,14:22:00,67.8996,15.50,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
948,11:05:33,11:06:39,65.8777,15.42,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
144,13:13:55,13:15:03,68.2777,15.42,541,69,Mr,Steve,Giles,Sailboard,Neither,No,No
248,10:35:12,10:36:18,66.0552,15.38,522,54,Mr,Marcus,Partridge,Sailboard,Junior,No,No
668,11:19:06,11:20:12,66.2416,15.33,522,54,Mr,william,rowles,Sailboard,Junior,No,No
58,11:51:39,11:52:46,66.2871,15.32,522,54,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
507,14:15:03,14:16:12,68.8206,15.30,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
190,11:39:47,11:40:54,66.4278,15.29,522,54,Mr,James,Grogono,Boat,Master,No,No
146,14:26:01,14:27:09,68.8819,15.28,541,69,Mr,william,giles,Sailboard,Junior,Yes,No
561,10:58:09,10:59:16,66.9152,15.18,522,54,Mr,Sam,Sills,Sailboard,Junior,No,No
58,13:55:49,13:56:58,69.5433,15.14,541,69,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
507,13:37:46,13:38:55,69.5777,15.13,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
190,13:34:38,13:35:48,70.3138,14.97,541,69,Mr,James,Grogono,Boat,Master,No,No
507,11:54:09,11:55:18,68.8235,14.76,522,54,Mr,Sam,Sills,Sailboard,Junior,No,No
507,13:16:37,13:17:50,72.477,14.53,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
668,13:39:15,13:40:27,72.6091,14.50,541,69,Mr,william,rowles,Sailboard,Junior,No,No
507,13:06:22,13:07:35,73.1978,14.38,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
58,14:07:58,14:09:11,73.9406,14.24,541,69,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
909,11:25:48,11:27:00,71.5868,14.19,522,54,Mr,lee,bradbury,Sailboard,Neither,Yes,No
668,11:47:24,11:48:35,71.917,14.12,522,54,Mr,william,rowles,Sailboard,Junior,No,No
863,14:17:19,14:18:34,75.2032,14.00,541,69,Mr,Duncan,Adam,Sailboard,Neither,No,No
948,13:24:55,13:26:12,76.9244,13.69,541,69,Mr,liam,Round,Sailboard,Junior,No,Yes
604,13:47:13,13:48:30,77.5272,13.58,541,69,Mr,TONY,MORRIS,Sailboard,Neither,No,No
668,14:05:07,14:06:25,78.1564,13.47,541,69,Mr,william,rowles,Sailboard,Junior,No,No
146,14:13:39,14:14:59,79.2989,13.28,541,69,Mr,william,giles,Sailboard,Junior,Yes,No
507,14:04:47,14:06:07,80.436,13.09,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
604,13:30:11,13:31:34,83.7745,12.57,541,69,Mr,TONY,MORRIS,Sailboard,Neither,No,No
58,11:18:51,11:20:15,83.371,12.18,522,54,Mr,Graeme,Fuller,Sailboard,Master,No,Yes
23,15:17:11,15:18:39,88.4798,11.90,541,69,Mr,BARRY,MASON,Sailboard,Master,No,No
678,10:49:47,10:51:21,93.5406,10.86,522,54,Mr,Stefan,Cook,Boat,Neither,No,Yes
507,13:45:05,13:46:42,96.9967,10.85,541,69,Mr,Sam,Sills,Sailboard,Junior,No,No
550,11:42:30,11:44:07,97.5918,10.41,522,54,Mr,Charlie,Railton,Boat,Neither,Yes,Yes
678,11:00:48,11:02:28,99.8791,10.17,522,54,Mr,Stefan,Cook,Boat,Neither,No,Yes
550,11:55:19,11:57:02,101.899,9.97,522,54,Mr,Charlie,Railton,Boat,Neither,Yes,Yes
678,12:01:28,12:03:11,102.444,9.92,522,54,Mr,Stefan,Cook,Boat,Neither,No,Yes
678,11:48:24,11:50:07,103.233,9.84,522,54,Mr,Stefan,Cook,Boat,Neither,No,Yes
10,13:30:32,13:32:22,110.099,9.56,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
863,11:44:47,11:46:34,108.039,9.40,522,54,Mr,Duncan,Adam,Sailboard,Neither,No,No
678,11:54:56,11:56:44,108.042,9.40,522,54,Mr,Stefan,Cook,Boat,Neither,No,Yes
79,14:14:28,14:16:23,115.39,9.12,541,69,Mr,ROB,KING,Sailboard,Neither,Yes,No
680,11:55:01,11:56:56,114.985,8.83,522,54,Mr,John,Eaton,Boat,Master,Yes,Yes
83,14:07:32,14:09:34,121.365,8.67,541,69,Mr,David,Tuttlebee,Sailboard,Master,No,No
994,10:53:14,10:55:16,122.161,8.32,522,54,Miss,Amy,Barratt,Sailboard,Junior,Yes,No
994,11:08:44,11:10:47,123.414,8.23,522,54,Miss,Amy,Barratt,Sailboard,Junior,Yes,No
201,10:50:23,10:52:46,142.95,7.11,522,54,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No
190,13:04:36,13:07:06,149.93,7.02,541,69,Mr,James,Grogono,Boat,Master,No,No
179,13:09:15,13:11:54,158.585,6.64,541,69,Mr,Ray,Smith,Sailboard,Master,Yes,No
164,13:17:51,13:20:34,162.967,6.46,541,69,Mr,Glenn,Weedon,Sailboard,Master,Yes,No
480,11:06:28,11:09:06,157.88,6.43,522,54,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
151,14:03:53,14:06:48,174.462,6.03,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
144,13:02:18,13:05:19,180.638,5.83,541,69,Mr,Steve,Giles,Sailboard,Neither,No,No
83,11:06:41,11:09:40,179.749,5.65,522,54,Mr,David,Tuttlebee,Sailboard,Master,No,No
349,11:16:07,11:19:22,194.718,5.22,522,54,Mr,Brian,Warner,Sailboard,Master,No,No
140,11:01:33,11:04:49,195.993,5.18,522,54,Mr,william,Oscroft,Sailboard,Neither,No,No
201,11:08:07,11:11:29,201.41,5.04,522,54,Miss,Elizabeth,Bowen,Sailboard,Neither,Yes,No
