Sail Number,Start Time,Finish Time,Elapsed Time,Speed,Course Length,Course Angle,Title,First Name,Last Name,Craft,Master or Junior,Novice,Professional
46,10:33:47,10:34:31,44.4583,22.85,522,54,Mr,denis,royet,Sailboard,Neither,No,No
21,10:38:22,10:39:07,45.419,22.36,522,54,Mr,Dan,Simpson,Sailboard,Neither,No,Yes
40,10:36:10,10:36:57,46.7464,21.73,522,54,Mr,simon,Hinkley,Sailboard,Neither,No,Yes
21,10:43:30,10:44:19,47.6108,21.34,522,54,Mr,Dan,Simpson,Sailboard,Neither,No,Yes
948,10:34:04,10:34:52,47.6498,21.32,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
68,10:36:18,10:37:06,47.8583,21.22,522,54,Mr,Allan,Cross,Sailboard,Neither,No,Yes
451,14:24:58,14:25:47,49.813,21.13,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
129,10:36:23,10:37:11,48.3622,21.00,522,54,Mr,Tim,Fricke,Sailboard,Neither,Yes,No
290,10:37:13,10:38:01,48.5144,20.94,522,54,Mr,James,Simpson,Sailboard,Junior,No,Yes
328,10:35:54,10:36:44,49.4339,20.55,522,54,Mr,Adrian,Wallis,Sailboard,Master,No,No
21,11:13:22,11:14:11,49.4984,20.52,522,54,Mr,Dan,Simpson,Sailboard,Neither,No,Yes
451,13:46:41,13:47:33,51.4753,20.45,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
131,10:33:09,10:33:58,49.8974,20.36,522,54,Mr,Paul,Simmons,Sailboard,Neither,No,Yes
21,10:54:36,10:55:26,50.0368,20.30,522,54,Mr,Dan,Simpson,Sailboard,Neither,No,Yes
44,10:36:48,10:37:38,50.2099,20.23,522,54,Mr,Dave,Strudwick,Sailboard,Master,No,No
451,14:18:33,14:19:25,52.3506,20.11,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
79,13:51:02,13:51:54,52.3547,20.11,541,69,Mr,ROB,KING,Sailboard,Neither,Yes,No
44,13:50:36,13:51:29,52.8426,19.92,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
29,10:39:22,10:40:13,51.0426,19.90,522,54,Mr,tony,robinson,Sailboard,Master,No,No
451,14:11:17,14:12:10,52.9275,19.89,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
609,13:47:23,13:48:17,53.1389,19.81,541,69,Mr,stacey,vass,Kite Board,Neither,No,Yes
480,10:35:29,10:36:20,51.2896,19.80,522,54,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
10,10:49:45,10:50:37,51.6107,19.68,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
747,14:23:26,14:24:19,53.829,19.56,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
21,10:51:12,10:52:04,52.0832,19.50,522,54,Mr,Dan,Simpson,Sailboard,Neither,No,Yes
451,13:40:48,13:41:42,54.0599,19.47,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
68,14:24:43,14:25:38,54.1565,19.44,541,69,Mr,Allan,Cross,Sailboard,Neither,No,Yes
676,10:36:02,10:36:54,52.3456,19.41,522,54,Mr,Richard,Box,Sailboard,Master,Yes,No
151,14:24:12,14:25:06,54.3008,19.39,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
10,10:59:57,11:00:50,52.454,19.37,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
747,14:28:09,14:29:03,54.5877,19.29,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
451,13:53:04,13:53:58,54.7942,19.21,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
68,14:18:06,14:19:01,54.8142,19.21,541,69,Mr,Allan,Cross,Sailboard,Neither,No,Yes
10,11:23:06,11:23:59,53.0768,19.14,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
451,13:59:20,14:00:16,55.0408,19.13,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
29,10:33:21,10:34:14,53.2249,19.08,522,54,Mr,tony,robinson,Sailboard,Master,No,No
609,14:10:21,14:11:17,55.2712,19.05,541,69,Mr,stacey,vass,Kite Board,Neither,No,Yes
10,11:10:33,11:11:26,53.753,18.90,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
44,13:56:52,13:57:48,55.8811,18.84,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
10,10:44:58,10:45:52,54.0688,18.79,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
901,10:39:05,10:39:59,54.0979,18.78,522,54,Mr,Richard,Simpson,Sailboard,Neither,No,No
44,14:13:54,14:14:50,56.1036,18.76,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
44,11:42:21,11:43:15,54.1424,18.76,522,54,Mr,Dave,Strudwick,Sailboard,Master,No,No
44,14:27:03,14:27:59,56.2196,18.73,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
747,14:17:47,14:18:43,56.2221,18.72,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
480,13:46:59,13:47:55,56.2746,18.71,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
948,10:43:46,10:44:41,54.2986,18.71,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
863,10:40:15,10:41:10,54.3867,18.68,522,54,Mr,Duncan,Adam,Sailboard,Neither,No,No
747,14:12:28,14:13:24,56.3669,18.68,541,69,Mr,Simon,White,Sailboard,Master,Yes,No
863,10:54:09,10:55:03,54.5078,18.64,522,54,Mr,Duncan,Adam,Sailboard,Neither,No,No
23,10:42:50,10:43:45,54.7601,18.55,522,54,Mr,BARRY,MASON,Sailboard,Master,No,No
71,10:47:48,10:48:42,54.7922,18.54,522,54,Mr,James,Morris,Sailboard,Neither,No,No
164,13:51:09,13:52:06,56.826,18.53,541,69,Mr,Glenn,Weedon,Sailboard,Master,Yes,No
151,13:51:20,13:52:17,56.842,18.52,541,69,Mr,Sam,Latham,Sailboard,Junior,No,No
10,13:46:14,13:47:10,56.8825,18.51,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
102,10:34:26,10:35:21,54.9209,18.50,522,54,Mrs,Linda,Cleary,Sailboard,Neither,Yes,No
55,10:46:38,10:47:33,55.0312,18.46,522,54,Mr,Nick,Scott,Sailboard,Neither,No,Yes
44,14:21:07,14:22:04,57.0453,18.45,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
604,13:14:52,13:15:50,57.0797,18.44,541,69,Mr,TONY,MORRIS,Sailboard,Neither,No,No
451,13:33:49,13:34:47,57.4758,18.32,541,69,Mr,Xavier,Ferlet,Sailboard,Neither,No,Yes
44,11:58:49,11:59:45,55.4588,18.32,522,54,Mr,Dave,Strudwick,Sailboard,Master,No,No
609,11:25:14,11:26:09,55.5172,18.30,522,54,Mr,stacey,vass,Kite Board,Neither,No,Yes
10,14:26:47,14:27:45,57.5394,18.30,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
68,14:00:02,14:01:00,57.6804,18.25,541,69,Mr,Allan,Cross,Sailboard,Neither,No,Yes
21,10:59:50,11:00:46,55.7175,18.23,522,54,Mr,Dan,Simpson,Sailboard,Neither,No,Yes
863,11:25:45,11:26:41,55.7332,18.23,522,54,Mr,Duncan,Adam,Sailboard,Neither,No,No
328,10:44:48,10:45:43,55.8123,18.20,522,54,Mr,Adrian,Wallis,Sailboard,Master,No,No
10,11:16:09,11:17:05,56.0423,18.13,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
948,10:51:22,10:52:18,56.0828,18.11,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
480,13:22:20,13:23:18,58.1666,18.10,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
144,13:24:11,13:25:09,58.2229,18.08,541,69,Mr,Steve,Giles,Sailboard,Neither,No,No
863,13:23:33,13:24:31,58.3107,18.05,541,69,Mr,Duncan,Adam,Sailboard,Neither,No,No
559,11:20:11,11:21:07,56.2916,18.05,522,54,Mr,Tony,Attfield,Sailboard,Neither,No,No
79,10:55:26,10:56:22,56.3076,18.04,522,54,Mr,ROB,KING,Sailboard,Neither,Yes,No
598,14:28:50,14:29:48,58.483,18.00,541,69,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
948,10:56:49,10:57:46,56.4924,17.98,522,54,Mr,liam,Round,Sailboard,Junior,No,Yes
44,11:47:34,11:48:31,56.7433,17.90,522,54,Mr,Dave,Strudwick,Sailboard,Master,No,No
44,14:08:26,14:09:25,58.8309,17.89,541,69,Mr,Dave,Strudwick,Sailboard,Master,No,No
480,10:53:06,10:54:03,56.7711,17.89,522,54,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
151,11:43:19,11:44:16,56.886,17.86,522,54,Mr,Sam,Latham,Sailboard,Junior,No,No
901,10:48:52,10:49:50,57.0489,17.81,522,54,Mr,Richard,Simpson,Sailboard,Neither,No,No
948,13:10:35,13:11:34,59.1915,17.79,541,69,Mr,liam,Round,Sailboard,Junior,No,Yes
480,14:25:24,14:26:24,59.2354,17.77,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
609,10:40:27,10:41:24,57.5297,17.66,522,54,Mr,stacey,vass,Kite Board,Neither,No,Yes
598,13:48:42,13:49:42,59.6658,17.64,541,69,Mr,Michael J.ohn,Roberts,Sailboard,Master,No,No
131,10:50:32,10:51:31,57.6183,17.63,522,54,Mr,Paul,Simmons,Sailboard,Neither,No,Yes
129,10:50:06,10:51:03,57.6579,17.62,522,54,Mr,Tim,Fricke,Sailboard,Neither,Yes,No
10,13:14:06,13:15:06,60.1111,17.51,541,69,Mr,Ricky,Wooding,Sailboard,Neither,No,No
46,10:46:16,10:47:14,58.0063,17.51,522,54,Mr,denis,royet,Sailboard,Neither,No,No
948,13:30:51,13:31:51,60.3626,17.44,541,69,Mr,liam,Round,Sailboard,Junior,No,Yes
388,14:24:32,14:25:32,60.3635,17.44,541,69,Mr,George,Turpin,Sailboard,Junior,Yes,No
480,14:17:57,14:18:58,60.5654,17.38,541,69,Mr,Tony,Ireland,Sailboard,Neither,No,Yes
609,11:45:01,11:46:00,58.4385,17.38,522,54,Mr,stacey,vass,Kite Board,Neither,No,Yes
68,14:06:10,14:07:10,60.6868,17.35,541,69,Mr,Allan,Cross,Sailboard,Neither,No,Yes
10,11:04:42,11:05:41,58.5985,17.33,522,54,Mr,Ricky,Wooding,Sailboard,Neither,No,No
68,10:46:25,10:47:24,58.6144,17.33,522,54,Mr,Allan,Cross,Sailboard,Neither,No,Yes
44,11:52:46,11:53:45,58.6326,17.32,522,54,Mr,Dave,Strudwick,Sailboard,Master,No,No
