Name,Sail Number,Craft Type,Speed (kts)
Nick Scott,55,Sailboard,21.12
Dan Simpson,323,Sailboard,19.94
David Garrel,22,Sailboard,19.65
Sam Gooch Jr,567,Sailboard,19.20
Neil Hardwick,413,Sailboard,19.11
Andrew Penhaligon,119,Sailboard,18.88
Gareth Baker (Army Team),69,Sailboard,18.69
Richard Jones (Jr),32,Sailboard,18.51
Barry Mason,23,Sailboard,18.47
Tony Morris,604,Sailboard,18.14
Simon Gregory,82,Sailboard,17.11
David Tuttlebee,888,Sailboard,16.32
Alex Adams,406,Boat,16.27
Joddy Chapman,141,Boat,15.71
John Fildes,467,Boat,15.41
Michael Pacey,622,Kite Board,13.95
Trevor Watford,27,Sailboard,6.32
Torix Bennett,101,Boat,5.98
Bob Date,458,Boat,5.76
Duncan Adam,863,Sailboard,4.80
Charles Wilson,143,Sailboard,4.77
Nigel Spriggs,118,Sailboard,4.30
