Date,Time,Sail Number,Speed (kts),Wind Speed,Gust Speed,Ratio
1998-10-07,12:44:59,8,6.545,12.00,0.00,0.545
1998-10-07,12:52:56,101,8.649,10.00,0.00,0.865
1998-10-07,13:01:53,101,16.310,11.00,0.00,1.483
1998-10-07,13:05:24,30,6.015,10.00,0.00,0.601
1998-10-07,13:06:10,101,8.281,12.00,0.00,0.690
1998-10-07,13:11:34,101,15.402,15.00,0.00,1.027
1998-10-07,13:13:32,30,10.410,9.00,0.00,1.157
1998-10-07,13:15:46,8,10.642,10.00,0.00,1.064
1998-10-07,13:22:05,101,17.750,14.00,0.00,1.268
1998-10-07,13:22:36,30,12.852,11.00,0.00,1.168
1998-10-07,13:30:10,101,16.999,12.00,0.00,1.417
1998-10-07,13:34:55,171,18.827,11.00,0.00,1.712
1998-10-07,13:34:58,30,12.023,13.00,0.00,0.925
1998-10-07,13:36:29,8,11.172,17.00,0.00,0.657
1998-10-07,13:39:31,101,19.008,15.00,0.00,1.267
1998-10-07,13:43:11,30,9.545,12.00,0.00,0.795
1998-10-07,13:52:33,30,8.055,16.00,0.00,0.503
1998-10-07,13:56:32,47,16.539,11.00,0.00,1.504
1998-10-07,13:58:48,171,10.778,12.00,0.00,0.898
1998-10-07,14:00:55,905,6.205,0.00,0.00,
1998-10-07,14:08:59,101,13.772,10.00,0.00,1.377
1998-10-07,14:11:43,10,1.824,10.00,0.00,0.182
1998-10-07,14:17:40,10,8.679,12.00,0.00,0.723
1998-10-07,14:23:17,905,4.978,10.00,0.00,0.498
1998-10-07,14:23:55,101,16.221,12.00,0.00,1.352
1998-10-07,14:24:21,7,2.184,14.00,0.00,0.156
1998-10-07,14:25:16,47,14.922,8.00,0.00,1.865
1998-10-07,14:26:51,10,7.830,11.00,0.00,0.712
1998-10-07,14:32:00,101,16.310,12.00,0.00,1.359
1998-10-07,14:34:13,10,9.494,9.00,0.00,1.055
1998-10-07,14:38:58,13,5.707,8.00,0.00,0.713
1998-10-07,14:43:32,10,8.133,13.00,0.00,0.626
1998-10-07,14:46:45,905,22.093,12.00,0.00,1.841
1998-10-07,14:46:53,7,4.002,10.00,0.00,0.400
1998-10-07,14:47:49,333,19.426,7.00,0.00,2.775
1998-10-07,14:51:59,10,10.453,15.00,0.00,0.697
1998-10-07,14:53:27,905,19.172,14.00,0.00,1.369
1998-10-07,14:55:42,333,18.003,14.00,0.00,1.286
1998-10-07,14:57:49,13,8.048,14.00,0.00,0.575
1998-10-07,14:59:16,10,9.692,16.00,0.00,0.606
1998-10-07,15:00:00,101,17.984,12.00,0.00,1.499
1998-10-07,15:01:34,333,16.432,10.00,0.00,1.643
1998-10-07,15:03:24,905,18.113,17.00,0.00,1.065
1998-10-07,15:07:20,101,18.021,15.00,0.00,1.201
1998-10-07,15:07:23,8,9.006,17.00,0.00,0.530
1998-10-07,15:07:40,10,9.914,16.00,0.00,0.620
1998-10-07,15:07:48,333,20.109,15.00,0.00,1.341
1998-10-07,15:15:30,9,20.746,10.00,0.00,2.075
1998-10-07,15:15:34,10,10.259,8.00,0.00,1.282
1998-10-07,15:18:28,171,14.747,13.00,0.00,1.134
1998-10-07,15:21:03,100,16.524,10.00,0.00,1.652
1998-10-07,15:23:21,9,16.340,12.00,0.00,1.362
1998-10-07,15:24:48,8,8.193,17.00,0.00,0.482
1998-10-07,15:26:40,101,13.793,14.00,0.00,0.985
1998-10-07,15:27:55,100,16.696,11.00,0.00,1.518
1998-10-07,15:29:37,10,8.778,7.00,0.00,1.254
1998-10-07,15:31:58,584,13.346,13.00,0.00,1.027
1998-10-07,15:33:36,100,16.073,9.00,0.00,1.786
1998-10-07,15:34:17,47,8.570,10.00,0.00,0.857
1998-10-07,15:35:59,101,11.102,9.00,0.00,1.234
1998-10-07,15:37:03,10,9.136,11.00,0.00,0.831
1998-10-07,15:44:44,98,4.335,17.00,0.00,0.255
1998-10-07,15:45:13,10,9.479,13.00,0.00,0.729
1998-10-07,15:46:47,584,15.100,13.00,0.00,1.162
1998-10-07,15:48:17,101,12.993,12.00,0.00,1.083
1998-10-07,15:49:14,171,12.577,11.00,0.00,1.143
1998-10-07,15:49:55,47,18.708,8.00,0.00,2.339
1998-10-07,15:50:01,11,14.984,12.00,0.00,1.249
1998-10-07,15:51:49,10,9.231,14.00,0.00,0.659
1998-10-07,15:55:03,333,7.993,11.00,0.00,0.727
1998-10-07,15:55:09,100,16.478,10.00,0.00,1.648
1998-10-07,15:55:13,905,7.714,9.00,0.00,0.857
1998-10-07,15:56:33,584,13.246,12.00,0.00,1.104
1998-10-07,15:59:09,10,8.871,9.00,0.00,0.986
1998-10-07,16:01:34,100,16.774,12.00,0.00,1.398
1998-10-07,16:05:37,458,11.589,11.00,0.00,1.054
1998-10-07,16:08:24,100,14.821,11.00,0.00,1.347
1998-10-07,16:09:14,98,3.785,14.00,0.00,0.270
1998-10-07,16:12:29,333,9.052,11.00,0.00,0.823
1998-10-07,16:15:12,584,14.045,13.00,0.00,1.080
1998-10-07,16:15:25,100,17.016,11.00,0.00,1.547
1998-10-07,16:17:02,458,11.315,14.00,0.00,0.808
1998-10-07,16:19:27,905,12.229,12.00,0.00,1.019
1998-10-07,16:20:44,171,17.098,13.00,0.00,1.315
1998-10-07,16:21:01,333,15.843,14.00,0.00,1.132
1998-10-07,16:22:23,584,13.826,14.00,0.00,0.988
1998-10-07,16:22:55,458,11.506,14.00,0.00,0.822
1998-10-07,16:29:34,584,13.316,12.00,0.00,1.110
1998-10-07,16:31:55,98,4.919,12.00,0.00,0.410
1998-10-07,16:33:08,333,17.298,13.00,0.00,1.331
1998-10-07,16:33:19,7,3.230,11.00,0.00,0.294
1998-10-07,16:35:39,11,18.649,14.00,0.00,1.332
1998-10-07,16:39:13,905,8.223,13.00,0.00,0.633
1998-10-07,16:39:27,9,16.743,15.00,0.00,1.116
1998-10-07,16:47:19,98,5.261,10.00,0.00,0.526
1998-10-07,16:52:20,458,8.641,7.00,0.00,1.234
1998-10-07,16:54:10,30,12.507,13.00,0.00,0.962
1998-10-07,16:58:28,458,9.875,12.00,0.00,0.823
1998-10-07,17:02:46,30,8.713,10.00,0.00,0.871
