Place,HelmName,Fleet,Status
1,Finlay Chandler,Open Wingboard,Pro Fleet
2,Scotty Stallman,Open Wingboard,Pro Fleet
3,Richard Hobson,Open Wingboard,Pro Fleet
4,Sullie Yelland,Open Wingboard,Pro Fleet
5,Oscar Dempsey,Open Wingboard,Amateur
6,Gary Nichols,Open Wingboard,Amateur
7,Ben Robbins,Open Wingboard,Amateur
8,Nick Barrett,Open Wingboard,Amateur
9,John-Paul Standish,Open Wingboard,Amateur
10,Peter Mallett,Open Wingboard,Amateur
11,Mark Salvage,Open Wingboard,Amateur
12,Reg Mallett,Open Wingboard,Amateur
